"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"170676","验证其他平台编辑模型表生命周期-Trino引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置Trino引擎；



2、指标对接Trino引擎，创建项目project；



3、项目 project 下存在模型A，模型表:model1 生命周期：20天



4、admin用户登陆；","1. 进入离线平台，修改模型表：model1 生命周期为2天
2. 进入指标平台，选择该数据模型，查看详情-调度信息
3. 2天后，查看模型表：model1
4. 进入指标平台，修改模型表：model1 生命周期为4天
5. 进入离线平台，查看该模型表生命周期
6. 进入指标平台，修改模型表：model1 生命周期为1天
再进入离线平台，修改模型表：model1 生命周期为3天
7. 进入指标平台，选择该数据模型，查看详情-调度信息
8. 3天后，查看模型表：model1","1. 取最新业务日期数据
2. 数据生命周期同步更新为2天
3. 符合时间的表分区删除
4. 取最新业务日期数据
5. 生命周期同步更新为4天
6. 取最新业务日期数据
7. 数据生命周期同步更新为3天
8. 符合时间的表分区删除","2","功能测试"
"170675","验证其他平台编辑模型表生命周期-Doris引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置Doris引擎；



2、指标对接Doris引擎，创建项目project；



3、项目 project 下存在模型A，模型表:model1 生命周期：20天



4、admin用户登陆；","1. 进入离线平台，修改模型表：model1 生命周期为2天
2. 进入指标平台，选择该数据模型，查看详情-调度信息
3. 2天后，查看模型表：model1
4. 进入指标平台，修改模型表：model1 生命周期为4天
5. 进入离线平台，查看该模型表生命周期
6. 进入指标平台，修改模型表：model1 生命周期为1天
再进入离线平台，修改模型表：model1 生命周期为3天
7. 进入指标平台，选择该数据模型，查看详情-调度信息
8. 3天后，查看模型表：model1","1. 取最新业务日期数据
2. 数据生命周期同步更新为2天
3. 符合时间的表分区删除
4. 取最新业务日期数据
5. 生命周期同步更新为4天
6. 取最新业务日期数据
7. 数据生命周期同步更新为3天
8. 符合时间的表分区删除","2","功能测试"
"170674","验证其他平台编辑模型表生命周期-starrocks引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置starrocks引擎；



2、指标对接starrocks引擎，创建项目project；



3、项目 project 下存在模型A，模型表:model1 生命周期：20天



4、admin用户登陆；","1. 进入离线平台，修改模型表：model1 生命周期为2天
2. 进入指标平台，选择该数据模型，查看详情-调度信息
3. 2天后，查看模型表：model1
4. 进入指标平台，修改模型表：model1 生命周期为4天
5. 进入离线平台，查看该模型表生命周期
6. 进入指标平台，修改模型表：model1 生命周期为1天
再进入离线平台，修改模型表：model1 生命周期为3天
7. 进入指标平台，选择该数据模型，查看详情-调度信息
8. 3天后，查看模型表：model1","1. 取最新业务日期数据
2. 数据生命周期同步更新为2天
3. 符合时间的表分区删除
4. 取最新业务日期数据
5. 生命周期同步更新为4天
6. 取最新业务日期数据
7. 数据生命周期同步更新为3天
8. 符合时间的表分区删除","1","功能测试"
"170673","验证指标表生命周期-Doris引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置Doris引擎；



2、指标对接Doris引擎，创建项目project；



3、项目 project 下存在指标A，指标A的结果表：结果表a、结果表b



4、指标A、结果表a、结果表b生命周期均设置为20天



5、admin用户登陆；","1. 进入指标开发平台，设置指标生命周期为3；
2. 选择该指标，查看该指标结果表a、b详情
3. 进入离线平台，查看该指标结果表a、b生命周期
4. 3天后，查看结果表a、结果表b
5. 通过离线设置结果表生命周期:
离线平台结果表a生命周期设置为1、结果表b生命周期设置为2；
6. 进入指标平台，选择该指标，查看该指标结果表a、b详情
7. 1天后，查看结果表a、结果表b
8. 2天后，查看结果表a、结果表b
9. 依次通过离线、指标设置结果表生命周期；离线平台结果表a生命周期设置为2；指标平台指标A生命周期设置为3；
10. 进入指标平台，选择该指标，查看该指标结果表a、b详情
11. 3天后，查看表
12. 依次通过指标、离线设置结果表生命周期；指标生命周期设置为4；离线平台结果表a生命周期设置为1；
13. 进入指标平台，选择该指标，查看该指标结果表a、b详情
14. 1天后，查看结果表a、b
15. 4天后，查看结果表a、b","1. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 生命周期同步更新为3天
3. 生命周期同步更新为3天
4. 符合时间的表分区删除
5. 设置生命周期成功，生命周期同步至指标
6. 生命周期同步更新，结果表a生命周期为1、结果表b生命周期为2；
7. 符合时间的结果表a分区删除,结果表b未被删除
8. 符合时间的结果表a、b分区删除
9. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. 生命周期同步更新，结果表a生命周期为3、结果表b生命周期为3；
11. 符合时间的表分区删除
12. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
13. 生命周期同步更新，结果表a生命周期为1、结果表b生命周期为4；
14. 符合时间的结果表a分区删除,结果表b未被删除
15. 符合时间的结果表a、b分区删除","2","功能测试"
"170672","验证指标表生命周期-trino引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置trino引擎；



2、指标对接trino引擎，创建项目project；



3、项目 project 下存在指标A，指标A的结果表：结果表a、结果表b



4、指标A、结果表a、结果表b生命周期均设置为20天



5、admin用户登陆；","1. 进入指标开发平台，设置指标生命周期为3；
2. 选择该指标，查看该指标结果表a、b详情
3. 进入离线平台，查看该指标结果表a、b生命周期
4. 3天后，查看结果表a、结果表b
5. 通过离线设置结果表生命周期:
离线平台结果表a生命周期设置为1、结果表b生命周期设置为2；
6. 进入指标平台，选择该指标，查看该指标结果表a、b详情
7. 1天后，查看结果表a、结果表b
8. 2天后，查看结果表a、结果表b
9. 依次通过离线、指标设置结果表生命周期；离线平台结果表a生命周期设置为2；指标平台指标A生命周期设置为3；
10. 进入指标平台，选择该指标，查看该指标结果表a、b详情
11. 3天后，查看表
12. 依次通过指标、离线设置结果表生命周期；指标生命周期设置为4；离线平台结果表a生命周期设置为1；
13. 进入指标平台，选择该指标，查看该指标结果表a、b详情
14. 1天后，查看结果表a、b
15. 4天后，查看结果表a、b","1. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 生命周期同步更新为3天
3. 生命周期同步更新为3天
4. 符合时间的表分区删除
5. 设置生命周期成功，生命周期同步至指标
6. 生命周期同步更新，结果表a生命周期为1、结果表b生命周期为2；
7. 符合时间的结果表a分区删除,结果表b未被删除
8. 符合时间的结果表a、b分区删除
9. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. 生命周期同步更新，结果表a生命周期为3、结果表b生命周期为3；
11. 符合时间的表分区删除
12. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
13. 生命周期同步更新，结果表a生命周期为1、结果表b生命周期为4；
14. 符合时间的结果表a分区删除,结果表b未被删除
15. 符合时间的结果表a、b分区删除","2","功能测试"
"170671","验证指标表生命周期-starrocks引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置starrocks引擎；



2、指标对接starrocks引擎，创建项目project；



3、项目 project 下存在指标A，指标A的结果表：结果表a、结果表b



4、指标A、结果表a、结果表b生命周期均设置为20天



5、admin用户登陆；","1. 进入指标开发平台，设置指标生命周期为3；
2. 选择该指标，查看该指标结果表a、b详情
3. 进入离线平台，查看该指标结果表a、b生命周期
4. 3天后，查看结果表a、结果表b
5. 通过离线设置结果表生命周期:
离线平台结果表a生命周期设置为1、结果表b生命周期设置为2；
6. 进入指标平台，选择该指标，查看该指标结果表a、b详情
7. 1天后，查看结果表a、结果表b
8. 2天后，查看结果表a、结果表b
9. 依次通过离线、指标设置结果表生命周期；离线平台结果表a生命周期设置为2；指标平台指标A生命周期设置为3；
10. 进入指标平台，选择该指标，查看该指标结果表a、b详情
11. 3天后，查看表
12. 依次通过指标、离线设置结果表生命周期；指标生命周期设置为4；离线平台结果表a生命周期设置为1；
13. 进入指标平台，选择该指标，查看该指标结果表a、b详情
14. 1天后，查看结果表a、b
15. 4天后，查看结果表a、b","1. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 生命周期同步更新为3天
3. 生命周期同步更新为3天
4. 符合时间的表分区删除
5. 设置生命周期成功，生命周期同步至指标
6. 生命周期同步更新，结果表a生命周期为1、结果表b生命周期为2；
7. 符合时间的结果表a分区删除,结果表b未被删除
8. 符合时间的结果表a、b分区删除
9. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. 生命周期同步更新，结果表a生命周期为3、结果表b生命周期为3；
11. 符合时间的表分区删除
12. 设置生命周期成功，系统给出成功反馈，相关页面/数据状态更新为最新
13. 生命周期同步更新，结果表a生命周期为1、结果表b生命周期为4；
14. 符合时间的结果表a分区删除,结果表b未被删除
15. 符合时间的结果表a、b分区删除","1","功能测试"
"170670","验证API表生命周期-Doris引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置Doris引擎；



2、指标对接Doris引擎，创建项目project；



3、项目 project 下存在以下表：

API 表：api1；生命周期为20天；



4、admin用户登陆；","1. 进入离线开发平台，设置API表：api1；设置生命周期为3；
2. 进入指标平台-指标应用-API服务，选择该API，查看该API详情
3. 3天后，查看表
4. 进入指标开发平台，设置API表：api1 生命周期为2；
5. 进入离线平台，查看API表生命周期
6. 2天后，查看表
7. 依次通过离线、指标设置生命周期；离线平台表生命周期设置为1；指标表生命周期设置为3；
8. 进入指标平台-指标应用-API服务，选择该API，查看该API详情
9. 3天后，查看表","1. 设置生命周期成功，生命周期设置同步至业务中心
2. 生命周期同步更新为3天
3. 符合时间的表分区删除
4. 设置生命周期成功，生命周期设置同步至业务中心
5. 生命周期同步更新为2天
6. 符合时间的表分区删除
7. 设置生命周期成功，取最后一次配置做为生命周期时间配置
8. 生命周期同步更新为3天
9. 符合时间的表分区删除","2","功能测试"
"170669","验证API表生命周期-Starrocks引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置starrocks引擎；



2、指标对接starrocks引擎，创建项目project；



3、项目 project 下存在以下表：

API 表：api1；生命周期为20天；



4、admin用户登陆；","1. 进入离线开发平台，设置API表：api1；设置生命周期为3；
2. 进入指标平台-指标应用-API服务，选择该API，查看该API详情
3. 3天后，查看表
4. 进入指标开发平台，设置API表：api1 生命周期为2；
5. 进入离线平台，查看API表生命周期
6. 2天后，查看表
7. 依次通过离线、指标设置生命周期；离线平台表生命周期设置为1；指标表生命周期设置为3；
8. 进入指标平台-指标应用-API服务，选择该API，查看该API详情
9. 3天后，查看表","1. 设置生命周期成功，生命周期设置同步至业务中心
2. 生命周期同步更新为3天
3. 符合时间的表分区删除
4. 设置生命周期成功，生命周期设置同步至业务中心
5. 生命周期同步更新为2天
6. 符合时间的表分区删除
7. 设置生命周期成功，取最后一次配置做为生命周期时间配置
8. 生命周期同步更新为3天
9. 符合时间的表分区删除","1","功能测试"
"170668","验证API表生命周期-Trino引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、指标配置文件中：datasource.type=trino



2、控制台配置 trino SQL 计算组件，测试连通性通过



3、以【超级管理员admin】账号操作



4、项目 project 下存在以下表：

API宽表：hive1；

HBase API 表：hbase1；生命周期均为20天","1. 进入离线开发平台，存在API宽表：merge_api_表名_t0_年月日、API hbase表：sync_api_表名_t1_年月日；设置生命周期均为3；
2. 进入指标平台，查看该API 的API宽表：merge_api_表名_t0_年月日、API hbase表：sync_api_表名_t1_年月日 的生命周期
3. 3天后，查看表
4. 进入指标平台，存在API宽表：merge_api_表名_t0_年月日、API hbase表：sync_api_表名_t1_年月日；设置生命周期均为2；
5. 进入离线平台，查看该API 的API宽表：merge_api_表名_t0_年月日、API hbase表：sync_api_表名_t1_年月日 的生命周期
6. 2天后，查看表
7. 依次通过离线、指标平台设置生命周期；离线平台API宽表：merge_api_表名_t0_年月日、API hbase表：sync_api_表名_t1_年月日生命周期均设置为1；指标平台API宽表：merge_api_表名_t0_年月日、API hbase表：sync_api_表名_t1_年月日生命周期均设置为3；
8. 进入指标平台，查看该API 的API宽表：merge_api_表名_t0_年月日、API hbase表：sync_api_表名_t1_年月日 的生命周期
9. 3天后，查看表","1. 设置生命周期成功，生命周期设置同步至业务中心
2. 同步更新为3天
3. 符合时间的hive表分区删除，hbase表删除
4. 设置生命周期成功，生命周期设置同步至业务中心
5. 同步更新为2天
6. 符合时间的hive表分区删除，hbase表删除
7. 设置生命周期成功，取最后一次配置做为生命周期时间配置
8. 同步更新为3天
9. 符合时间的hive表分区删除，hbase表删除","1","功能测试"
"170667","验证指标表生命周期-Trino引擎","指标开发-指标生命周期管理","指标生命周期管理对接业务中心","1、控制台已配置trino引擎



2、指标对接trino引擎，创建项目project



3、项目 project 下存在指标A，指标A的结果表：结果表a



4、指标A、结果表a生命周期均设置为20天



5、admin用户登陆","1. 进入离线开发平台，设置结果表a生命周期为3天
2. 进入指标平台-指标应用-API服务，编辑该API，查看生命周期回显
3. 3天后，查看结果表a
4. 进入指标开发平台，设置指标生命周期为2；
5. 进入离线平台，查看结果表生命周期
6. 2天后，查看结果表a
7. 依次通过离线、指标平台设置结果表生命周期；离线平台结果表生命周期设置为1；指标平台生命周期设置为3；
8. 进入指标平台-指标应用-API服务，编辑该API，查看生命周期回显
9. 3天后，查看表
10. 依次通过指标、离线平台设置结果表生命周期；
指标平台结果表a生命周期设置为2；
离线平台结果表a生命周期设置为1；
11. 进入指标平台-指标应用-API服务，编辑该API，查看生命周期回显
12. 1天后，查看表","1. 设置生命周期成功，生命周期设置同步至业务中心
2. 回显3天
3. 符合时间的表分区删除
4. 设置生命周期成功，生命周期设置同步至业务中心
5. 同步更新为2天
6. 符合时间的表分区删除
7. 设置生命周期成功，生命周期设置同步至业务中心
8. 回显3天
9. 符合时间的表分区删除
10. 设置生命周期成功，取最后一次配置的结果表做为生命周期时间配置
11. 回显1天
12. 符合时间的表分区删除","1","功能测试"
