"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"167939","验证经营分析列表 -搜索","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 模糊搜索经营分析名称","1. 成功进入【经营管理-经营分析】页面，页面内容正常加载显示，无报错
2. 模糊搜索经营分析名称列表结果展示正确，内容与预期完全一致，无异常或错误","2","功能测试"
"167938","验证经营分析列表 -展示","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 查看界面初始化
3. 查看页面交互","1. 成功进入目标页面，页面内容正常加载显示，无报错或权限拦截
2. 第一行显示 搜索输入框，新建分析按钮。
第二行显示 分析名称、分析描述、分析目标、更新方式、最新分析完成时间、发布状态、创建人、创建时间、最近更新人、最近更新时间、操作列。
第三行显示 内容列，无数据显示 暂无数据。
第四行显示 翻页插件。
3. 模型名称 和 操作列固定在第一列和最后一列其他列支持左右滚动。","2","功能测试"
"167937","验证经营分析列表 -详情展示","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 点击经营分析名称
3. 查看界面初始化
4. 查看基本属性展示
5. 查看调度信息展示
6. 调度信息-点击任务名称
7. 调度信息-任务名称图标交互
8. 调度信息-分析结果表名图标交互","1. 成功进入目标页面，页面内容正常加载显示，无报错或权限拦截
2. 从右向左出现一个抽屉式弹窗
3. 第一行显示 $分析名称$ $分析标识$ 发布状态
第二行显示 基本属性 调度信息 tab
4. 基本信息：分析名称、分析标识、创建时间、最近更新时间、创建人、最近更新人、分析描述
归因分析定义：经营分析目标、经营分析主体、经营分析维度、经营目标归因方式、经营过程归因窗口期
5. 基本信息：任务名称、分析结果表名称
数据更新：更新方式、更新周期、更新日期、更新时间、结果表生命周期
6. 跳转至运维中心
7. 点击任务名称弹窗展示任务脚本
8. 点击表弹窗显示表结构预览","1","功能测试"
"167936","验证经营分析列表 -发布状态","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 发布状态枚举","1. 成功进入【经营管理-经营分析】页面，页面内容正常加载显示，无报错
2. 已发布、未发布、已下线","3","功能测试"
"167935","验证经营分析列表 -更新方式","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 更新方式枚举","1. 成功进入【经营管理-经营分析】页面，页面内容正常加载显示，无报错
2. 手动更新、周期更新","3","功能测试"
"167934","验证参数设置 -基本信息","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 分析名称
3. 分析标识
4. 分析描述","1. 成功进入【经营管理-经营分析】页面，页面内容正常加载显示，无报错
2. 1. 必填，默认为空，限制输入64字符，提示词：请输入分析名称
3. 异常提示文案：
（1）请输入分析名称
（2）限制输入64字符
4. 1. 必填，默认为空，限制输入64字符，限制输入字母、数字、下划线且以字母开头，编辑时不可修改
项目内不可重复
提示词：请输入分析标识
5. 异常提示文案：
（1）请输入分析标识
（2）限制输入64字符
（3）限制输入字母、数字、下划线且以字母开头
（4）分析标识重复
6. 1. 非必填，默认为空，限制输入500字符，提示词：请输入分析描述信息，长度限制在500个字符以内
7. 异常提示文案：
（1）限制输入500字符","2","功能测试"
"167933","验证参数设置 -归因分析定义","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 经营分析目标
3. 经营分析主体
4. 经营分析主体提示
5. 经营分析维度
6. 经营目标归因方式
7. 经营过程归因窗口期-数值框
8. 经营过程归因窗口期-时间单位","1. 成功进入【经营管理-经营分析】页面，页面内容正常加载显示，无报错
2. 1. 经营目标选择，单选，必选，默认为空，提示词：请选择经营分析目标
3. 1. 单选，必选，默认为空
4. 选项范围：下列内容的维度交集
（1）目标下设置的子目标策略定义的转化事件定义的事件主体绑定的维度
（2）目标下定义的目标衡量指标、子目标衡量指标的维度（全部维度，不限制生效范围）
5. 异常提示文案：
（1）请选择经营目标归因方式
6. 1. 枚举值：
整体 + 同时满足下列条件的维度交集
（1）目标设置的衡量指标
（2）子目标设置的衡量指标
（3）维度的生效范围为全部
7. 1. 选项范围：首次归因、末次归因、线性归因
8. 1.正整数输入框
9. 配置不可大于7天/168小时/10080分钟
10. 枚举值：天、小时、分钟
默认：天","2","功能测试"
"167932","验证参数设置 -数据更新规则","指标开发-经营分析","经营分析：支持定义经营分析规则","无","1. 进入【经营管理-经营分析】页面
2. 更新方式
3. 更新周期
4. 更新周期-天
5. 更新周期-周
6. 更新周期-月
7. 结果表生命周期","1. 成功进入【经营管理-经营分析】页面，页面内容正常加载显示，无报错
2. 手动更新、周期更新
3. 枚举：天、周、月
4. 更新时间选择
5. 增加更新日期必选框：星期一、星期二、星期三、星期四、星期五、星期六、星期天
6. 增加更新日期必选框：每月1号、每月2号、...、每月31号
7. 正整数输入框，限制输入：1-9999","3","功能测试"
"167931","验证经营分析新增 -手动新增","指标开发-经营分析","经营分析：支持定义经营分析规则","1、当前项目对接的计算组件为sr；
2、当前登录账号有「经营管理」-「经营目标管理」的「查看」权限；
3、当前登录账号有「经营管理」-「经营目标管理」-「经营目标分类」-「新增」权限；","1. 进入【经营管理-经营分析】页面
2. 输入分析名称、分析标识、分析描述，选择经营分析目标、经营分析主体、经营分析维度、经营目标归因方式、经营过程分析窗口期，选择更新方式-手动更新，点击确定
3. 查看经营分析详情","1. 成功进入目标页面，页面内容正常加载显示，无报错或权限拦截
2. 返回经营分析列表，列表数+1
3. 详情页tab展示基本属性、调度信息；基本属性页面基本信息、归因分析定义展示正确；调度信息页面基本信息、数据更新展示正确","2","功能测试"
"167930","验证经营分析新增 -周期新增","指标开发-经营分析","经营分析：支持定义经营分析规则","1、当前项目对接的计算组件为sr；
2、当前登录账号有「经营管理」-「经营目标管理」的「查看」权限；
3、当前登录账号有「经营管理」-「经营目标管理」-「经营目标分类」-「新增」权限；","1. 进入【经营管理-经营分析】页面
2. 输入分析名称、分析标识、分析描述，选择经营分析目标、经营分析主体、经营分析维度、经营目标归因方式、经营过程分析窗口期，选择更新方式-周期更新，选择更新周期，更新时间，结果表生命周期，点击确定
3. 查看经营分析详情","1. 成功进入目标页面，页面内容正常加载显示，无报错或权限拦截
2. 返回经营分析列表，列表数+1
3. 详情页tab展示基本属性、调度信息；基本属性页面基本信息、归因分析定义展示正确；调度信息页面基本信息、归因分析定义展示正确","2","功能测试"
