"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"168235","验证 指标共享后，指标级授权不影响指标定义-共享指标 功能","指标开发-权限管控","指标级权限管控","1、admin账号在目录a下创建派生指标a已发布且共享给所有项目

2、用户组1下存在用户1，用户1关联自定义角色：角色a

3、角色a具有指标定义-查看、管理所有指标权限，无其他指标定义权限点下权限 

4、用户组1、用户1均无目录a查看权限","1. 使用用户1登录指标平台，进入指标a的共享项目，进入指标中心-指标定义-共享指标页面
2. admin账号取消角色a管理所有指标权限，使用用户1登录指标平台，进入指标a的共享项目，进入指标中心-指标定义-共享指标页面
3. admin账号取消指标a的共享，使用用户1登录指标平台，进入指标a的共享项目，进入指标中心-指标定义-共享指标页面
4. admin赋予角色a管理所有指标权限，将指标a共享给项目a,使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面
5. admin取消角色a管理所有指标权限，选中指标a授予用户1可查看权限，使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面
6. admin选中指标a授予用户1可编辑权限，使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面
7. admin选中指标a移除用户1可编辑权限，使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面","1. 指标a相关数据展示
2. 指标a相关数据展示
3. 指标a相关数据不展示
4. 指标a相关数据展示
5. 指标a相关数据展示
6. 指标a相关数据展示
7. 指标a相关数据展示","3","功能测试"
"162598","验证 授权、管理所有指标 权限点展示","指标开发-权限管控","指标级权限管控","无","1. 使用admin账号，登录进入数栈，点击右上角设置-角色管理-智能指标，查看权限点
2. 进入指标平台某个项目，切换到项目管理-角色管理页面","1. 指标管理分析-指标中心-指标定义下，新增权限点：“授权“、”管理所有指标“
2. 指标管理分析-指标中心-指标定义下，新增权限点：“授权“、”管理所有指标“","3","功能测试"
"162597","验证权限管控","指标开发-权限管控","指标级权限管控","无","1. admin
2. 租户所有者
3. 租户管理者
4. 项目所有者
5. 项目管理员
6. 数据开发
7. 运营人员
8. 访客
9. 自定义角色","1. 管理所有指标、授权 默认有权限
2. 管理所有指标、授权 默认有权限
3. 管理所有指标、授权 默认有权限
4. 管理所有指标、授权 默认有权限
5. 管理所有指标、授权 默认有权限
6. 管理所有指标、授权 默认 无 权限
7. 管理所有指标、授权 默认 无 权限
8. 管理所有指标、授权 默认 无 权限
9. 管理所有指标、授权 默认 无 权限","2","功能测试"
"162596","验证 编辑 授权、管理所有指标 权限点功能","指标开发-权限管控","指标级权限管控","无","1. 使用admin创建自定义角色a，查看设置初始权限点列表
2. 勾选其他权限点后点保存
3. 进入指标平台某个项目，切换到项目管理-角色管理页面，查看角色a权限点
4. 点击右上角设置-角色管理-智能指标，编辑角色a权限,勾选指标定义-授权、管理所有指标权限
5. 进入指标平台某个项目，切换到项目管理-角色管理页面，查看角色a权限点","1. 指标定义-授权、管理所有指标默认不勾选
2. 系统提示创建成功，列表中出现新创建的记录，记录内容与填写一致
3. 指标定义-授权、管理所有指标权限点不被勾选
4. 系统提示修改成功，页面显示修改后的最新内容
5. 指标定义-授权、管理所有指标权限点正确勾选","2","功能测试"
"162595","验证 指标授权按钮显示条件","指标开发-权限管控","指标级权限管控","无","1. 无指标定义-授权 权限的用户
2. 有指标定义-授权 权限的用户","1. 指标授权按钮不可见
2. 指标授权按钮可见、可操作","2","功能测试"
"162594","验证 管理所有指标 权限功能","指标开发-权限管控","指标级权限管控","1.项目a的目录a下存在派生指标a
2.存在用户a，关联角色a:有 指标定义-查看、管理所有指标权限，无指标定义权限点下其他权限
3.用户a/角色a 无任何指标级授权-查看/编辑权限以及任何指标目录级授权-查看权限","1. 用户a登录指标平台，进入项目a，切换到指标中心-指标开发-指标定义页面
2. 切换到指标市场
3. 切换到指标应用/智能分析，查看所有指标列表/指标检索
4. 为角色a增加指标定义-新增/编辑、发布/下线、删除权限
5. 取消角色a的管理所有指标权限，指标a授权给用户a查看权限
6. 切换到指标市场
7. 切换到指标应用/智能分析，查看所有指标列表/指标检索
8. 目录a授权给用户a-查看/编辑权限，指标a授权给用户a编辑权限,授予角色a指标定义-新增/编辑、发布、下线、删除权限","1. 可查看所有目录下的所有指标，新增指标、指标操作按钮不可见
2. 可查看指标的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮可操作
3. 可查看指标相应记录、相应数据
4. 可/编辑/发布/下线/删除所有目录下的所有指标
5. 仅可查看指标a相应记录，不可新增指标、查看其他所有指标
6. 可查看指标的相应记录、相应数据、详情中血缘的相应指标框。仅指标a的结果查询按钮可见可操作
7. 仅可查看指标a相应记录、相应数据
8. 可：新增指标，查看目录a下所有指标，编辑、发布、下线、删除指标a
不可：操作目录a下其他指标、查看其他目录下指标","1","功能测试"
"162593","验证指标 授权 面板展示","指标开发-权限管控","指标级权限管控","admin创建派生指标a已授权给用户1、角色1、用户组1可查看权限","1. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，查看指标列表的操作列
2. 选中指标a，点击授权，查看授权面板
3. 点击用户1权限枚举项下拉按钮查看枚举项展示
4. 点击用户组1权限枚举项下拉按钮查看枚举项展示
5. 点击角色1权限枚举项下拉按钮查看枚举项展示
6. 打开全员公开按钮，查看枚举项
7. 点击枚举项下拉按钮查看枚举项展示","1. 新增 授权 操作按钮
2. 初始化页面展示：授权，指定人及权限，添加指定人按钮，搜索框（placeholder内容：搜索指定人），用户数，用户组数，角色数，创建人（默认填充该指标创建人，直接赋予可编辑权限，不可修改）,已授权指定人列表，全员公开按钮（默认关闭），X
3. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标
移除权限
4. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标
移除权限
5. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标
移除权限
6. 枚举项默认：可查看
7. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标","3","功能测试"
"162592","验证 授权面板搜索框功能","指标开发-权限管控","指标级权限管控","无","1. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，选中某个指标点击授权
2. 点击搜索框，根据指定人名称精确搜索
3. 根据指定人名称模糊搜索","1. 页面数据正确展示
2. 展示正确筛选结果
3. 展示正确筛选结果","3","功能测试"
"162591","验证添加指定人页面展示","指标开发-权限管控","指标级权限管控","无","1. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，选中某个指标，点击授权，点击添加指定人，查看页面展示","1. 标题：添加指定人，按用户选择，按用户组选择，按角色选择，指定人及权限列表：placeholder内容：请从左侧面板中选择添加指定人，确定，取消/X
默认选中按用户选择tab页，展示当前项目下所有用户列表。搜索框placeholder内容：搜索","3","功能测试"
"162590","验证按用户组选择页面展示","指标开发-权限管控","指标级权限管控","无","1. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，选中某个指标，点击授权，点击添加指定人，点击按用户组选择，查看页面展示","1. 用户组列表枚举项：当前项目下的所有用户组，取消/X，确定。右侧默认提示文案:请从左侧面板中选择添加指定人，搜索框placeholder内容：搜索","3","功能测试"
"162589","验证按角色选择页面展示","指标开发-权限管控","指标级权限管控","无","1. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，选中某个指标，点击授权，点击添加指定人，点击按角色选择，查看页面展示","1. 角色列表枚举项：当前租户下自定义角色、访客、数据开发、运营人员、项目管理员，取消/X，确认。右侧默认提示文案:请从左侧面板中选择添加指定人，搜索框placeholder内容：搜索","3","功能测试"
"162588","验证 全员公开按钮 功能","指标开发-权限管控","指标级权限管控","1.admin在项目a的目录a下新创建派生指标a已发布 且被共享给所有项目
2.项目 a内存在用户1，自定义角色1：具有指标定义权限点下除管理所有指标外其他权限。用户1无指标目录a查看权限","1. admin账号，登录指标平台,选中指标a,点击授权,查看全员公开按钮
2. 用户1登录指标平台，查看指标中心-指标开发-指标定义页面
3. 切换到指标市场
4. 切换到指标应用/智能分析，查看所有指标列表/指标检索
5. admin账号，登录指标平台,选中指标a,点击授权，打开全员公开按钮
6. 用户1登录指标平台
7. 切换到指标市场
8. 切换到指标应用/智能分析，查看所有指标列表/指标检索
9. admin账号，登录指标平台,选中指标a,点击授权,全员公开按钮权限切换为可编辑
10. 用户1登录指标平台
11. 切换到指标市场
12. 切换到指标应用/智能分析，查看所有指标列表/指标检索","1. 默认关闭
2. 指标列表不展示指标a数据
3. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮不可见
4. 不可查看指标a相应记录、相应数据
5. 枚举项默认：可查看，修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 指标定义页面指标列表内可查看指标a，发布/下线/编辑/删除指标按钮不可见
7. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮可点击
8. 可查看指标a相应记录、相应数据
9. 系统提示修改成功，页面显示修改后的最新内容
10. 指标定义页面指标列表内可查看指标a及其数据，发布/下线/编辑/删除指标按钮可见可操作
11. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮可点击
12. 可查看指标a相应记录、相应数据","1","功能测试"
"162587","验证历史数据 授权按钮","指标开发-权限管控","指标级权限管控","无","1. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，查看指标列表的操作列
2. 点击某个历史数据指标的授权按钮，查看授权面板左下角开关","1. 新增 授权 操作按钮
2. 全员公开按钮默认关闭","2","功能测试"
"162586","验证 指标授权-添加指定人-按用户选择 功能","指标开发-权限管控","指标级权限管控","1.admin账号在项目a的目录a下新创建派生指标a已发布 且被共享给所有项目,未授权
2.存在自定义角色a：具有指标定义权限点下除管理所有指标外其他权限
2.项目a下已引入：
用户1，角色：自定义角色a，用户1无指标目录a查看权限
用户2，角色：自定义角色a，用户2无指标目录a查看权限
用户3，角色：自定义角色a，用户3无指标目录a查看权限","1. 使用admin账号，登录指标平台，进入项目a,切换到指标中心-指标开发-指标定义页面，点击指标a的授权按钮
2. 点击添加指定人，点击按用户选择，查看用户列表
3. 勾选用户1、用户2、用户3
4. 修改用户3权限为可编辑
5. 右侧列表移除用户2权限
6. 点击确定
7. 用户3登录指标平台，切换到指标中心-指标开发-指标定义，查看指标列表
8. 切换到指标市场
9. 切换到指标应用/智能分析，查看所有指标列表/指标检索
10. 用户1登录指标平台，切换到指标中心-指标开发-指标定义，查看指标列表
11. 点击指标a授权按钮，点击添加指定人，点击按用户选择，查看用户列表
12. 切换到指标市场
13. 切换到指标应用/智能分析，查看所有指标列表/指标检索
14. 用户2登录指标平台，切换到指标中心-指标开发-指标定义，查看指标列表
15. 切换到指标市场
16. 切换到指标应用/智能分析，查看所有指标列表/指标检索","1. 弹出授权看板
2. 展示当前项目下所有用户
3. 右侧编辑指定人及权限列表同步更新，默认可查看
4. 系统提示修改成功，页面显示修改后的最新内容
5. 移除成功，系统给出删除成功提示，该记录从列表中消失
6. 保存成功，授权看板同步更新指定人列表
7. 可查看指标a及其数据，发布/下线/编辑/删除指标按钮可见
8. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮可点击
9. 可查看指标a相应记录、相应数据
10. 可查看指标a及其数据，发布/下线/编辑/删除指标按钮不可见
11. 历史已添加的选项用户1、用户3禁用，无需重复选择
12. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮可点击
13. 可查看指标a相应记录、相应数据
14. 不可查看指标a及其数据
15. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮不展示
16. 不可查看指标a相应记录、相应数据","1","功能测试"
"162585","验证 指标授权-编辑指定用户权限 功能","指标开发-权限管控","指标级权限管控","目录a下派生指标a已授权给用户1可查看权限，用户1无管理所有指标权限,有指标定义下其他权限","1. 登陆admin账号进入指标平台，选中指标a点击授权，在授权看板切换用户1权限为可编辑
2. 使用用户1登录指标平台,切换到指标中心-指标开发-指标定义，查看指标列表
3. 切换到指标市场
4. 切换到指标应用/智能分析，查看所有指标列表/指标检索","1. 保存成功，授权看板同步更新相关字段
2. 可查看指标a及其数据，发布/下线/编辑/删除指标按钮可见可操作
3. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮可点击
4. 可查看指标a相应记录、相应数据","2","功能测试"
"162584","验证 指标授权-移除指定用户权限 功能","指标开发-权限管控","指标级权限管控","目录a下存在已发布且被共享给所有项目的派生指标a已授权给用户1可查看权限，用户1无目录a查看权限","1. 登陆admin账号进入指标平台，选中指标a点击授权，在授权看板移除用户1的权限
2. 使用用户1登录指标平台，切换到指标中心-指标开发-指标定义，查看指标列表
3. 切换到指标市场
4. 切换到指标应用/智能分析，查看所有指标列表/指标检索","1. 保存成功，授权看板同步更新
2. 不可查看指标a及其数据
3. 可查看指标a的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮不可见
4. 不可查看指标a相应记录、相应数据","2","功能测试"
