"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"178374","验证 用户组、角色 交叉 授权功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户1，角色：自定义角色1
被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
用户组1，仅包含用户1
4、项目${project}存在取数模板${A}，仅授权给用户组1可编辑权限，角色1可查看权限，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板移除用户组1的权限
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 点击取数按钮，跳转到数据查询页面
5. 使用admin账号修改模板${A}权限：添加用户组1可查看权限，修改角色1权限为可编辑
6. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
7. 点击取数按钮，跳转到数据查询页面
8. 使用admin账号修改模板${A}权限：移除角色1权限
9. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
10. 点击取数按钮，跳转到数据查询页面","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 保存成功，授权看板同步更新
3. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
4. 保存取数模板按钮不可见，可另存为新模板
5. 保存成功，授权看板同步更新
6. 可查看模板${A}信息，可操作取数、授权、删除按钮
7. 可操作 保存取数模板按钮、另存为新模板按钮
8. 移除成功，授权看板同步更新
9. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
10. 保存取数模板按钮不可见，可另存为新模板","2","功能测试"
"178373","验证用户、角色 交叉 授权功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户1，角色：自定义角色1
被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
4、项目${project}存在取数模板${A}，仅授权给用户1可编辑权限，角色1可查看权限，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板移除用户1的权限
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 点击取数按钮，跳转到数据查询页面
5. 使用admin账号修改模板${A}权限：添加用户1可查看权限，修改角色1权限为可编辑
6. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
7. 点击取数按钮，跳转到数据查询页面
8. 使用admin账号修改模板${A}权限：移除角色1权限
9. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
10. 点击取数按钮，跳转到数据查询页面","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 移除成功，授权看板同步更新
3. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
4. 保存取数模板按钮不可见，可另存为新模板
5. 修改成功，授权看板同步更新
6. 可查看模板${A}信息，可操作取数、授权、删除按钮
7. 可操作 保存取数模板按钮、另存为新模板按钮
8. 移除成功，授权看板同步更新
9. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
10. 保存取数模板按钮不可见，可另存为新模板","2","功能测试"
"178372","验证用户、用户组交叉 授权功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户1，角色：数据开发
被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
用户组1，仅包含用户1
4、项目${project}存在取数模板${A}，仅授权给用户1可查看权限，用户组1可编辑权限，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板移除用户组1的权限
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 点击取数按钮，跳转到数据查询页面
5. 使用admin账号修改模板${A}权限：添加用户组1可查看权限，修改用户1权限为可编辑
6. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
7. 点击取数按钮，跳转到数据查询页面
8. 使用admin账号修改模板${A}权限：移除用户1权限
9. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
10. 点击取数按钮，跳转到数据查询页面","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 移除成功，授权看板同步更新
3. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
4. 保存取数模板按钮不可见，可另存为新模板
5. 修改成功，授权看板同步更新
6. 可查看模板${A}信息，可操作取数、授权、删除按钮
7. 可操作 保存取数模板按钮、另存为新模板按钮
8. 移除成功，授权看板同步更新
9. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
10. 保存取数模板按钮不可见，可另存为新模板","2","功能测试"
"178371","验证指标授权-移除指定角色权限 功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户1，角色：自定义角色1
被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
4、项目${project}存在取数模板${A}，仅授权给角色1可查看权限，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板移除角色1的权限
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 切换到智能分析页面，输入取数模板名称进行查询","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 移除成功，授权看板同步更新
3. 不展示 模板${A}信息，取数、授权、删除按钮不可见
4. 不可检索到模板${A}","2","功能测试"
"178370","验证取数模板授权-编辑指定角色权限 功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户1，角色：自定义角色1
被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
4、项目${project}存在取数模板${A}，仅授权给角色1可查看权限，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板切换角色1权限为可编辑
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 点击取数按钮，跳转到数据查询页面
5. 使用admin账号，在取数模板${A}的授权看板切换角色1权限为可查看
6. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
7. 点击取数按钮，跳转到数据查询页面","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 成功切换至目标页签/状态，页面内容随之刷新显示
3. 可查看模板${A}信息，可操作取数、授权、删除按钮
4. 可操作 保存取数模板按钮、另存为新模板按钮
5. 成功切换至目标页签/状态，页面内容随之刷新显示
6. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
7. 保存取数模板按钮不可见，可另存为新模板","2","功能测试"
"178369","验证 取数模板授权-添加指定人-按角色选择 功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks



2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过



3、项目${project}内存在：

用户1，角色：自定义角色1

用户2，角色：自定义角色2

用户3，角色：自定义角色3

以上用户的角色都被赋予[取数模板-授权]权限，都无[取数模板-管理所有模板]权限



4、项目${project}存在取数模板${A}，未授权给任何指定人，全员公开按钮关闭



5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A},点击授权按钮
3. 点击添加指定人，点击按角色选择，勾选角色1、角色2、角色3
4. 修改角色2权限为可编辑
5. 右侧列表移除角色3
6. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
7. 点击取数按钮，跳转到数据查询页面
8. 切换到智能分析页面，输入取数模板名称进行查询
9. 用户2登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
10. 点击模板${A}授权按钮，点击添加指定人，点击按角色选择，查看角色列表
11. 点击取数按钮，跳转到数据查询页面
12. 切换到智能分析页面，输入取数模板名称进行查询
13. 用户3登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
14. 切换智能分析页面，输入取数模板名称进行查询
15. 用户3添加角色1后登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
16. 点击取数按钮，跳转到数据查询页面
17. 切换到智能分析页面，输入取数模板名称进行查询","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 弹出授权看板
3. 右侧编辑指定人及权限列表同步更新，权限默认可查看
4. 系统提示修改成功，页面显示修改后的最新内容
5. 移除成功，系统给出删除成功提示，该记录从列表中消失
6. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
7. 保存取数模板按钮不可见，可另存为新模板
8. 可检索到模板${A}
9. 可查看模板${A}信息，可操作取数、授权、删除按钮
10. 历史已添加的选项角色1、角色2、角色3禁用
11. 可操作 保存取数模板按钮、另存为新模板按钮
12. 可检索到模板${A}
13. 不展示 模板${A}信息、取数、授权、删除按钮
14. 不可检索到模板${A}
15. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
16. 保存取数模板按钮不可见，可另存为新模板
17. 可检索到模板${A}","1","功能测试"
"178368","验证取数模板授权-移除指定用户组权限 功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户组1，包含用户1
用户的角色为数据开发，被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
4、项目${project}存在取数模板${A}，授权给用户组1可查看权限，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板移除用户组1的权限
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 切换智能分析页面，输入取数模板名称进行查询","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 移除成功，授权看板同步更新
3. 不展示 模板${A}信息，取数、授权、删除按钮不可见
4. 不可检索到模板${A}","2","功能测试"
"178367","验证取数模板授权-编辑指定用户组权限 功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户组1，包含用户1
用户的角色为数据开发，被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
4、项目${project}存在取数模板${A}，授权给用户组1可查看权限，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板切换用户组1权限为可编辑
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 点击取数按钮，跳转到数据查询页面
5. 使用admin账号，在取数模板${A}的授权看板切换用户组1权限为可查看
6. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
7. 点击取数按钮，跳转到数据查询页面","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 成功切换至目标页签/状态，页面内容随之刷新显示
3. 可查看模板${A}信息，可操作取数、授权、删除按钮
4. 可操作 保存取数模板按钮、另存为新模板按钮
5. 成功切换至目标页签/状态，页面内容随之刷新显示
6. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
7. 保存取数模板按钮不可见，可另存为新模板","2","功能测试"
"178366","验证 取数模板授权-按用户组选择 功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户组1，包含用户1
用户组2，包含用户2
用户组3，包含用户3
用户4，不在任何用户组中
以上用户的角色均为访客，用户组角色均为数据开发、被赋予[取数模板-授权]权限，都无[取数模板-管理所有模板]权限
4、项目${project}存在取数模板${A}，未授权给任何指定人，全员公开按钮关闭
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A},点击授权按钮
3. 点击添加指定人，点击按用户组选择，勾选用户组1、用户组2、用户组3
4. 修改用户组2权限为可编辑
5. 右侧列表移除用户组3
6. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
7. 点击取数按钮，跳转到数据查询页面
8. 切换智能分析页面，输入取数模板名称进行查询
9. 用户2登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
10. 点击模板${A}授权按钮，点击添加指定人，点击按用户组选择，查看用户组列表
11. 点击取数按钮，跳转到数据查询页面
12. 切换智能分析页面，输入取数模板名称进行查询
13. 用户3登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
14. 切换智能分析页面，输入取数模板名称进行查询
15. 将用户4添加进用户组1，用户4登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
16. 点击取数按钮，跳转到数据查询页面
17. 切换智能分析页面，输入取数模板名称进行查询","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 弹出授权看板
3. 右侧编辑指定人及权限列表同步更新，权限默认可查看
4. 系统提示修改成功，页面显示修改后的最新内容
5. 移除成功，系统给出删除成功提示，该记录从列表中消失
6. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
7. 保存取数模板按钮不可见，可另存为新模板
8. 可检索到模板${A}
9. 可查看模板${A}信息，可操作取数、授权、删除按钮
10. 历史已添加的选项用户组1、用户组2、用户组3禁用
11. 可操作 保存取数模板按钮、另存为新模板按钮
12. 可检索到模板${A}
13. 不展示 模板${A}信息、取数、授权、删除按钮
14. 不可检索到模板${A}
15. 可查看模板${A}信息，可操作取数按钮，授权、删除按钮不可见
16. 保存取数模板按钮不可见，可另存为新模板
17. 可检索到模板${A}","1","功能测试"
"178365","验证 取数模板授权-移除指定用户权限 功能","指标开发-自助取数","自助取数支持数据排序、模版授权","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、项目${project}内存在：
用户1，角色:数据开发，被赋予[取数模板-授权]权限，无[取数模板-管理所有模板]权限
4、项目${project}存在取数模板${A}，已授权给用户1可查看权限
5、以【admin】账号操作，进入指标平台，进入项目${project}-指标应用-自助取数-取数模板页面","1. 进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮
2. 选中取数模板${A}，点击授权，在授权看板移除用户1的权限
3. 用户1登录指标平台，切换到指标应用-自助取数-取数模板页面，查看模板列表
4. 切换智能分析页面，输入取数模板名称进行查询","1. 成功进入指标应用-自助取数-取数模板页面，选中模板${A},点击授权,查看全员公开按钮页面，页面内容正常加载显示，无报错
2. 移除成功，授权看板同步更新
3. 不展示 模板${A}信息，取数、授权、删除按钮不可见
4. 不可检索到模板${A}","2","功能测试"
