"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"161973","验证历史自定义指标","指标开发-数据模型","自定义指标支持定义特征类型","无","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，查看特征类型
2. 选择自定义指标，点击编辑按钮
3. 编辑SQL步骤，点击下一步
4. 查看指标列字段类型
5. 点击下一步
6. 查看特征类型
7. 保存并发布自定义指标","1. 展示指标
2. 进入自定义指标编辑页面
3. 跳转到设置维度信息页面
4. 展示：指标列(指标)，字段类型枚举值选择增加：指标列（标签）
5. 跳转到设置指标信息页面
6. 展示指标
7. 系统提示发布成功，发布状态更新，相关页面可访问","1","功能测试"
"161972","验证资产平台指标历史数据","指标开发-数据模型","自定义指标支持定义特征类型","1、资产平台-数据地图中存在指标历史数据，包括原子指标、派生指标、复合指标、自定义指标","1. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标
2. 点击指标名称，查看任务详情
3. 根据特征类型过滤指标结果
4. 特征类型字段与其他筛选项（指标类型/标签/发布人）组合筛选","1. 筛选框增加特征类型选择，枚举值：指标、标签
列表中的历史指标数据特征类型展示：指标
2. 指标信息中在指标别名后增加特征类型字段，展示：指标
3. 结果正确，内容与预期完全一致，无异常或错误
4. 筛选结果正确，内容与预期完全一致，无异常或错误","1","功能测试"
"161971","验证编辑历史自定义指标-修改字段类型","指标开发-数据模型","自定义指标支持定义特征类型","1、存在历史自定义指标：history_自定义
指标列字段：index_01
维度列字段：d1（用户/年龄）（varchar类型）、d2（用户/性别）、d3（用户/消费城市）","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，选择自定义指标：history_自定义，点击编辑按钮
2. 编辑SQL步骤，点击下一步
3. 编辑字段：index_01 -字段类型：指标列（指标）切换到指标列（标签）
4. 编辑字段：d1-字段类型：维度列切换到：指标列（标签）
5. 字段：d1 设置指标对接信息：新指标，字段名称：new_自定义_01字段：index_01关联维度对象设置：用户，关联维度属性：为空，点击下一步
6. 查看特征类型
7. 查看聚合方式
8. 修改d1字段聚合方式：计数，选中指标目录，点击下一步
9. 点击下一步
10. 点击保存 并发布
11. 指标定义列表页面，点击history_自定义名称，查看指标详情
12. 指标定义列表页面，点击new_自定义_01名称，查看指标详情
13. 进入指标应用-自助取数-数据查询页面，选择指标：new_自定义_01名称，选择维度：用户/年龄，点击查询
14. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看history_自定义名称","1. 进入自定义指标编辑页面
2. 跳转到设置维度信息页面
3. 设置成功，展示关联维度对象、关联维度属性字段，其中：关联维度对象、关联维度属性选填
4. 对应的关联维度对象/关联维度属性信息不清空，指标对接可设置，枚举值：新指标、当前项目下已创建的自定义指标列表
5. 跳转到设置指标信息页面
6. 字段d1展示标签，字段：index_01展示标签
7. index_01字段 枚举值不变，包括：
最大值 MAX()、最小值 MIN()、去重计数 COUNT( DISTINCT )、计数 COUNT()、平均数 AVG()、求和 SUM()、不聚合
d1字段 枚举值包含：计数、去重计数、不聚合，默认：不聚合
8. 跳转到设置调度信息步骤
9. 跳转到完成步骤，展示：新增指标：new_自定义_01，编辑指标：history_自定义
10. 指标编辑发布成功，指标定义列表页面展示：history_自定义指标特征类型：标签，new_自定义_01指标特征类型：标签
11. 基本信息-特征类型展示：标签，维度支持展示：用户/年龄、用户/性别、用户/消费城市
12. 基本信息-特征类型展示：标签，维度支持展示：用户/年龄、用户/性别、用户/消费城市
13. 查询结果正确，取数SQL展示正确，内容与预期完全一致，无异常或错误
14. 特征类型展示：标签，包括任务详情页面：特征类型展示标签","1","功能测试"
"161970","验证指标定义列表页面增加特征类型字段","指标开发-数据模型","自定义指标支持定义特征类型","无","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面
2. 查看历史原子/派生/复合/自定义指标-特征类型
3. 点击历史原子/派生/复合/自定义指标名称，查看详情
4. 根据特征类型筛选列表数据
5. 特征类型字段与其他筛选项（指标类型/发布状态/操作状态/联动更新状态）组合筛选","1. 增加【特征类型】字段，支持过滤，筛选枚举值：指标、标签
2. 展示：指标
3. 基本属性-基本信息中，指标频度后增加特征类型字段，展示：指标
4. 筛选结果正确，内容与预期完全一致，无异常或错误
5. 筛选结果正确，内容与预期完全一致，无异常或错误","3","功能测试"
"161969","验证指标市场详情页面增加特征类型字段","指标开发-数据模型","自定义指标支持定义特征类型","无","1. 登录指标平台，进入具体项目下，切换到指标市场-项目市场列表页面，点击历史指标名称
2. 查看历史原子/派生/复合/自定义指标-特征类型
3. 共享市场-指标详情","1. 进入指标详情页面，在指标频度后增加特征类型字段
2. 展示：指标
3. 在指标频度后增加特征类型字段，历史原子/派生/复合/自定义指标-特征类型展示：指标","3","功能测试"
"161968","验证选择数值型字段新增-特征类型为标签的自定义指标--对接指标特征类型的指标","指标开发-数据模型","自定义指标支持定义特征类型","1、Doris数据源下，存在初始表数据：
CREATE TABLE teacher_table(
teacher_id         BIGINT       NOT NULL COMMENT '教师ID',
name               STRING       NOT NULL COMMENT '教师姓名',
gender             STRING                   COMMENT '性别',
age                INT                      COMMENT '年龄',
department_id      BIGINT       NOT NULL COMMENT '学院ID',
department_name    STRING       NOT NULL COMMENT '学院名称',
title              STRING                   COMMENT '职称，如讲师、副教授、教授',
hire_date          DATE                     COMMENT '入职日期',
education_level    STRING                   COMMENT '学历，如博士、硕士',
is_tenured         BOOLEAN                  COMMENT '是否为终身教职',
update_time        varchar(20)       COMMENT '最后更新时间'
)
DUPLICATE KEY(teacher_id)
DISTRIBUTED BY HASH(teacher_id) BUCKETS 1
PROPERTIES (
“replication_num“ = “1“
);
2、项目内存在维度对象：教师，教师维度对象下存在维度属性：教师ID、教师名称、学院名称；
3、项目内存在自定义指标：exist_指标_01，特征类型：指标","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，点击新增指标-自定义指标
2. 输入SQL：SELECT teacher_id, name, age, department_nameFROM teacher_tableWHERE title = '教授'点击下一步
3. 字段：teacher_id，字段描述：教师ID_标签，字段类型设置为：指标列（标签），关联维度对象：教师，关联维度属性：教师ID，指标对接：exist_指标_01；字段：name，字段描述：教师名称，关联维度对象：教师，关联维度属性：教师名称；字段：department_name，字段描述：学院名称，关联维度对象：教师，关联维度属性：学院名称；字段：age，字段描述：教师年龄_指标，指标对接：exist_指标_01；点击下一步
4. 修改字段：age 指标对接：新指标，点击下一步
5. 查看特征类型
6. 选择指标目录后，点击下一步
7. 选择即席查询，点击下一步
8. 点击保存并发布
9. 指标定义列表页面，点击 exist_指标_01 指标名称，查看指标详情
10. 点击教师年龄_指标 指标名称，查看指标详情
11. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看 exist_指标_01 指标信息","1. 进入新增自定义指标页面
2. 跳转到设置维度信息步骤，其中：
teacher_id、age 字段类型默认展示：指标列（指标）
name、department_name 字段类型默认展示：维度列
3. 提示异常：对接指标重复
4. 跳转到设置指标信息步骤
5. teacher_id 字段特征类型为：标签；
age 字段 特征类型为：指标
6. 跳转到设置调度信息步骤
7. 跳转到完成步骤
8. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持展示：教师/教师ID，教师/教师名称，教师/学院名称
10. 基本属性-基本信息-特征类型展示：指标，技术信息-维度支持展示：教师/教师名称，教师/学院名称,教师/教师id
11. 特征类型展示：标签，包括任务详情页面：特征类型展示标签","2","功能测试"
"161967","验证选择文本型字段新增-特征类型为标签的自定义指标--对接指标特征类型的指标","指标开发-数据模型","自定义指标支持定义特征类型","1、Doris数据源下，存在初始表数据：
CREATE TABLE teacher_table(
teacher_id         BIGINT       NOT NULL COMMENT '教师ID',
name               STRING       NOT NULL COMMENT '教师姓名',
gender             STRING                   COMMENT '性别',
age                INT                      COMMENT '年龄',
department_id      BIGINT       NOT NULL COMMENT '学院ID',
department_name    STRING       NOT NULL COMMENT '学院名称',
title              STRING                   COMMENT '职称，如讲师、副教授、教授',
hire_date          DATE                     COMMENT '入职日期',
education_level    STRING                   COMMENT '学历，如博士、硕士',
is_tenured         BOOLEAN                  COMMENT '是否为终身教职',
update_time        varchar(20)       COMMENT '最后更新时间'
)
DUPLICATE KEY(teacher_id)
DISTRIBUTED BY HASH(teacher_id) BUCKETS 1
PROPERTIES (
“replication_num“ = “1“
);
2、项目内存在维度对象：教师，教师维度对象下存在维度属性：教师ID、教师名称、学院名称；
3、项目内存在自定义指标：exist_指标_02，特征类型：指标，聚合方式：平均数
4、存在派生指标：ps_01，维度列：教师/教师名称、教师/学院名称","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，点击新增指标-自定义指标
2. 输入SQL：SELECT teacher_id, name, age, department_nameFROM teacher_tableWHERE title = '教授'点击下一步
3. 字段：teacher_id，字段描述：教师ID，字段类型设置为：维度列，关联维度对象：教师，关联维度属性：教师ID；字段：name，字段描述：教师名称_标签，字段类型设置为：指标列（标签），关联维度对象：教师，关联维度属性：教师名称，指标对接：exist_指标_02；字段：department_name，字段描述：学院名称，字段类型设置为：维度列，关联维度对象：教师，关联维度属性：学院名称；字段：age，字段描述：教师年龄_指标_02，指标对接：新指标；点击下一步
4. 查看特征类型
5. name字段选择聚合方式：去重计数，选择指标目录后，点击下一步
6. 选择落表查询，设置正确配置信息，点击下一步
7. 点击保存并发布
8. 指标定义列表页面，点击 exist_指标_02 指标名称，查看指标详情
9. 点击教师年龄_指标_02 指标名称，查看指标详情
10. 进入指标应用-自助取数-数据查询页面，选择指标：exist_指标_02 名称，选择维度：教师/教师名称，点击查询
11. 进入新建复合指标页面，公式：exist_指标_02 + ps_01，公共维度选择：教师/教师名称，教师/学院名称，保存并发布复合指标：Fuhe_01
12. 进入新建API页面，选择即席查询，选择指标：exist_指标_02 ，ps_01，Fuhe_01，入参维度选择：教师/教师名称，出参维度选择：教师/教师名称，教师/学院名称，保存并发布API
13. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看教师名称_标签 指标信息","1. 进入新增自定义指标页面
2. 跳转到设置维度信息步骤，其中：
teacher_id、age 字段类型默认展示：指标列（指标）
name、department_name 字段类型默认展示：维度列
3. 跳转到设置指标信息步骤
4. name 字段特征类型为：标签；聚合方式内容展示为空，下拉框枚举值展示：计数、去重计数、不聚合
age 字段 特征类型为：指标；聚合方式展示：不聚合，枚举值展示：最大值 MAX()、最小值 MIN()、去重计数 COUNT( DISTINCT )、计数 COUNT()、平均数 AVG()、求和 SUM()、不聚合
5. 跳转到设置调度信息步骤
6. 跳转到完成步骤
7. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持展示：教师/教师ID，教师/教师名称，教师/学院名称
9. 基本属性-基本信息-特征类型展示：指标，技术信息-维度支持展示：教师/教师ID，教师/教师名称，教师/学院名称
10. 查询结果正确，取数SQL展示正确（采用去重计数聚合函数）
11. 试计算结果正确，复合指标发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
12. API发布成功，API结果调用正确，内容与预期完全一致，无异常或错误
13. 特征类型展示：标签，包括任务详情页面：特征类型展示标签","1","功能测试"
"161966","验证新增-特征类型为指标的自定义指标--对接标签特征类型的指标","指标开发-数据模型","自定义指标支持定义特征类型","1、Doris数据源下，存在初始表数据：
CREATE TABLE teacher_table(
teacher_id         BIGINT       NOT NULL COMMENT '教师ID',
name               STRING       NOT NULL COMMENT '教师姓名',
gender             STRING                   COMMENT '性别',
age                INT                      COMMENT '年龄',
department_id      BIGINT       NOT NULL COMMENT '学院ID',
department_name    STRING       NOT NULL COMMENT '学院名称',
title              STRING                   COMMENT '职称，如讲师、副教授、教授',
hire_date          DATE                     COMMENT '入职日期',
education_level    STRING                   COMMENT '学历，如博士、硕士',
is_tenured         BOOLEAN                  COMMENT '是否为终身教职',
update_time        varchar(20)       COMMENT '最后更新时间'
)
DUPLICATE KEY(teacher_id)
DISTRIBUTED BY HASH(teacher_id) BUCKETS 1
PROPERTIES (
“replication_num“ = “1“
);
2、项目内存在维度对象：教师，教师维度对象下存在维度属性：教师ID、教师名称、学院名称；
3、项目内存在自定义指标：exist_标签_01，特征类型：标签，","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，点击新增指标-自定义指标
2. 输入SQL：SELECT department_name, COUNT(*) as teacher_countFROM teacher_table_varcharGROUP BY department_nameORDER BY teacher_count DESC;点击下一步
3. 字段：teacher_count，字段描述：教师总数_指标，字段类型设置为：指标列（指标），指标对接：exist_标签_01；字段：department_name，字段描述：学院名称，关联维度对象：教师，关联维度属性：学院名称；点击下一步
4. 查看特征类型
5. 选择指标目录后，点击下一步
6. 选择即席查询，点击下一步
7. 点击保存并发布
8. 指标定义列表页面，点击exist_标签_01 指标名称，查看指标详情
9. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看 exist_标签_01 指标信息","1. 进入新增自定义指标页面
2. 跳转到设置维度信息步骤，其中：
teacher_count 字段类型默认展示：指标列（指标）
department_name 字段类型默认展示：维度列
3. 跳转到设置指标信息步骤
4. teacher_count 字段特征类型为：指标
5. 跳转到设置调度信息步骤
6. 跳转到完成步骤
7. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 基本属性-基本信息-特征类型展示：指标，技术信息-维度支持展示：教师/学院名称
9. 特征类型展示：指标，包括任务详情页面：特征类型展示指标","2","功能测试"
"161965","验证编辑-特征类型为标签的自定义指标-删除关联维度属性","指标开发-数据模型","自定义指标支持定义特征类型","1、当前项目下已创建特征类型=标签的自定义指标：教师ID_标签；指标列（标签）关联有维度对象（教师）/维度属性（教师ID）
维度组合1：教师/教师ID，教师/教师名称，教师/学院名称","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，选择自定义指标：教师ID_标签，点击编辑按钮，选择维度组合：教师/教师ID，教师/教师名称，教师/学院名称
2. 点击下一步
3. 选择字段：teacher_id，删除关联维度属性，其他信息不变化，完成步骤点击保存并发布
4. 指标定义列表页面，点击教师ID_标签 指标名称，查看指标详情
5. 进入指标应用-自助取数-数据查询页面，选择指标：教师ID_标签
6. 选择维度：教师/教师名称，点击查询","1. 进入编辑自定义指标页面
2. 跳转到设置维度信息步骤
3. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持展示：教师/教师名称，教师/学院名称
5. 查看维度，不展示：教师/教师ID
6. 查询结果正确，取数SQL展示正确，内容与预期完全一致，无异常或错误","1","功能测试"
"161964","验证编辑-特征类型为标签的自定义指标-新增关联维度对象/维度属性","指标开发-数据模型","自定义指标支持定义特征类型","1、当前项目下已创建特征类型=标签的自定义指标：教师ID_标签；指标列（标签）未关联维度对象/维度属性
维度组合1：教师/教师名称，教师/学院名称","1. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，选择自定义指标：教师ID_标签，点击编辑按钮，选择维度组合：教师/教师名称，教师/学院名称
2. 点击下一步
3. 选择字段：teacher_id，新增关联维度对象：教师，关联维度属性：教师ID，其他信息不变化，完成步骤点击保存并发布
4. 指标定义列表页面，点击教师ID_标签 指标名称，查看指标详情
5. 进入指标应用-自助取数-数据查询页面，选择指标：教师ID_标签
6. 选择维度：教师/教师名称，教师/教师ID，教师/学院名称，点击查询","1. 进入编辑自定义指标页面
2. 跳转到设置维度信息步骤
3. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持新增：教师/教师ID
5. 查看维度，展示：教师/教师ID
6. 查询结果正确，取数SQL展示正确，内容与预期完全一致，无异常或错误","2","功能测试"
