"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"178351","验证自定义指标详情页应用模块同步更新功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，以【超级管理员admin】账号操作，进入项目${project}，创建数据：自定义指标${A}，并且被指标应用中的模块引用
4、项目${project}内存在用户${user1},角色：项目管理员","1. 进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板
2. 登录用户${user1},进入指标平台-指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
3. 切换到[指标应用-取数模板]页面，选中引用指标${A}的取数模板，点击取数
4. 点击保存取数模板，修改模板名称点击确定
5. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
6. 切换到[指标应用-指标看板]页面，选中引用指标${A}的指标看板，点击编辑，修改看板名称，保存并发布
7. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
8. 切换到[指标应用-指标树]页面，选中引用指标${A}的指标树，点击编辑，修改指标树名称，保存并发布
9. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
10. 关闭指标详情滑窗，编辑指标${A},修改名称为${A_xiugai}，其他信息不变，保存并发布指标
11. 点击指标${A_xiugai}名称，查看指标详情-应用信息-指标应用Tab
12. 切换到[指标应用-目标管理]页面，选中指标${A}，点击编辑，修改目标值，保存并发布
13. 切换到指标中心-指标开发-指标定义页面，查看派生指标${A}的指标详情-应用信息-指标应用Tab
14. 切换到指标市场-项目市场，选中指标${A_xiugai}点击指标名称,查看指标详情-应用信息页面","1. 成功进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板页面，页面内容正常加载显示，无报错
2. 展示指标应用信息，更新人为${admin}
3. 跳转到自助取数页面
4. 模板名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 取数模板名称、更新时间同步更新，更新人变为${user1}
6. 发布成功，看板名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 指标看板名称、更新时间同步更新，更新人变为${user1}
8. 发布成功，指标树名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 指标树名称、更新时间同步更新，更新人变为${user1}
10. 发布成功,指标定义列表页同步更新
11. 指标分析、目标管理的指标名称同步更新
12. 系统提示发布成功，发布状态更新，相关页面可访问
13. 目标管理 更新时间同步更新，更新人变为${user1}
14. 指标应用模块同步更新","2","功能测试"
"178350","验证自定义指标-应用模块名称支持跳转功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，项目${project}内存在数据：自定义指标${A}，并且被指标应用中的除API外其他模块引用
4、以【超级管理员admin】账号操作，进入项目${project}","1. 进入指标中心-指标开发-指标定义页面，查看自定义指标${A}的指标详情-应用信息-指标应用Tab
2. 点击取数模版名称
3. 点击指标分析的指标名称
4. 点击指标看板名称
5. 点击指标树名称
6. 点击目标管理的指标名称","1. 展示指标应用信息
2. 跳转至【指标应用-取数模版】，搜索当前模版进行记录展示
3. 跳转至【指标应用-指标分析】，搜索当前指标进行记录展示
4. 跳转至【指标应用-指标看版】，搜索当前看板进行记录展示
5. 跳转至【指标应用-指标树】，搜索当前指标树进行记录展示
6. 跳转至【指标应用-目标管理】，搜索当前指标进行记录展示，","2","功能测试"
"178349","验证自定义指标详情页应用模块分页功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，以【超级管理员admin】账号操作，进入项目${project}，创建数据：自定义指标${A}","1. 进入指标应用模块，使用自定义指标${A}分别在取数模板、指标树、指标看板下构造10条测试数据
2. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab","1. 数据构造成功，同一应用场景的数据按照更新时间降序排列？
2. 能正确分页展示所有应用场景信息","2","功能测试"
"178348","验证自定义指标详情页指标应用模块功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，以【超级管理员admin】账号操作，进入项目${project}
4、项目${project}内存在已发布自定义指标${A}","1. 进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板
2. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
3. 进入指标应用-指标分析页面，引入指标${A}
4. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
5. 进入指标应用-指标看板页面，使用指标${A}新增并发布一个指标看板
6. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
7. 进入指标应用-指标树页面，使用指标${A}新增指标树
8. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
9. 进入指标应用-目标管理页面，使用指标${A}新增目标
10. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
11. 切换到指标市场-项目市场，选中指标${B}点击指标名称,查看指标详情-应用信息页面
12. 切换到[指标应用-取数模板]页面，删除引用指标${A}的取数模板
13. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
14. 切换到[指标应用-指标看板]页面，删除引用指标${A}的指标看板
15. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
16. 切换到[指标应用-指标树]页面，删除引用指标${A}的指标树
17. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
18. 切换到[指标应用-指标分析]页面，移除指标${A}的指标卡
19. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
20. 切换到[指标应用-目标管理]页面，删除指标${A}
21. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
22. 切换到指标市场-项目市场，选中指标${A_xiugai}点击指标名称,查看指标详情-应用信息页面","1. 系统提示创建成功，列表中出现新创建的记录，记录内容与填写一致
2. 【指标应用】Tab下数据更新：
统计数+1
正确展示取数模版场景的应用信息
3. 引入成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 【指标应用】Tab下数据更新：
统计数+1
正确展示指标分析场景的应用信息
5. 看板发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 【指标应用】Tab下数据更新：
统计数+1
正确展示指标看板场景的应用信息
7. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
8. 【指标应用】Tab下数据更新：
统计数+1
正确展示指标树场景的应用信息
9. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
10. 【指标应用】Tab下数据更新：
统计数+1
正确展示目标管理场景的应用信息
11. 【指标应用】Tab下数据同步更新：
表格数据依次展示取数模版、指标分析、指标看板、指标树、目标管理的应用情况
12. 系统提示删除成功，该条记录从列表中消失，总记录数减1
13. 取数模板记录同步删除，统计数-1
14. 系统提示删除成功，该条记录从列表中消失，总记录数减1
15. 指标看板记录同步删除，统计数-1
16. 系统提示删除成功，该条记录从列表中消失，总记录数减1
17. 指标树记录同步删除，统计数-1
18. 移除成功，系统给出删除成功提示，该记录从列表中消失
19. 指标分析记录同步删除，统计数-1
20. 系统提示删除成功，该条记录从列表中消失，总记录数减1
21. 目标管理记录同步删除，统计数-1
22. 指标应用模块同步更新","2","功能测试"
"178347","验证复合指标详情页应用模块同步更新功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，以【超级管理员admin】账号操作，进入项目${project}，创建数据：复合指标${A}，并且被指标应用中的模块引用
4、项目${project}内存在用户${user1},角色：项目管理员","1. 进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板
2. 登录用户${user1},进入指标平台-指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
3. 切换到[指标应用-取数模板]页面，选中引用指标${A}的取数模板，点击取数
4. 点击保存取数模板，修改模板名称点击确定
5. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
6. 切换到[指标应用-指标看板]页面，选中引用指标${A}的指标看板，点击编辑，修改看板名称，保存并发布
7. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
8. 切换到[指标应用-指标树]页面，选中引用指标${A}的指标树，点击编辑，修改指标树名称，保存并发布
9. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
10. 关闭指标详情滑窗，编辑指标${A},修改名称为${A_xiugai}，其他信息不变，保存并发布指标
11. 点击指标${A_xiugai}名称，查看指标详情-应用信息-指标应用Tab
12. 切换到[指标应用-目标管理]页面，选中指标${A}，点击编辑，修改目标值，保存并发布
13. 切换到指标中心-指标开发-指标定义页面，查看派生指标${A}的指标详情-应用信息-指标应用Tab
14. 切换到指标市场-项目市场，选中指标${A_xiugai}点击指标名称,查看指标详情-应用信息页面","1. 成功进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板页面，页面内容正常加载显示，无报错
2. 展示指标应用信息，更新人为${admin}
3. 跳转到自助取数页面
4. 模板名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 取数模板名称、更新时间同步更新，更新人变为${user1}
6. 发布成功，看板名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 指标看板名称、更新时间同步更新，更新人变为${user1}
8. 发布成功，指标树名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 指标树名称、更新时间同步更新，更新人变为${user1}
10. 发布成功,指标定义列表页同步更新
11. 指标分析、目标管理的指标名称同步更新
12. 系统提示发布成功，发布状态更新，相关页面可访问
13. 目标管理 更新时间同步更新，更新人变为${user1}
14. 指标应用模块同步更新","2","功能测试"
"178346","验证复合指标-应用模块名称支持跳转功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，项目${project}内存在数据：复合指标${A}，并且被指标应用中的除API外其他模块引用
4、以【超级管理员admin】账号操作，进入项目${project}","1. 进入指标中心-指标开发-指标定义页面，查看复合指标${A}的指标详情-应用信息-指标应用Tab
2. 点击取数模版名称
3. 点击指标分析的指标名称
4. 点击指标看板名称
5. 点击指标树名称
6. 点击目标管理的指标名称","1. 展示指标应用信息
2. 跳转至【指标应用-取数模版】，搜索当前模版进行记录展示
3. 跳转至【指标应用-指标分析】，搜索当前指标进行记录展示
4. 跳转至【指标应用-指标看版】，搜索当前看板进行记录展示
5. 跳转至【指标应用-指标树】，搜索当前指标树进行记录展示
6. 跳转至【指标应用-目标管理】，搜索当前指标进行记录展示，","2","功能测试"
"178345","验证复合指标详情页应用模块分页功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，以【超级管理员admin】账号操作，进入项目${project}，创建数据：复合指标${A}","1. 进入指标应用模块，使用复合指标${A}分别在取数模板、指标树、指标看板下构造10条测试数据
2. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab","1. 数据构造成功，同一应用场景的数据按照更新时间降序排列？
2. 能正确分页展示所有应用场景信息","2","功能测试"
"178344","验证复合指标详情页指标应用模块功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，以【超级管理员admin】账号操作，进入项目${project}
4、项目${project}内存在已发布复合指标${A}","1. 进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板
2. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
3. 进入指标应用-指标分析页面，引入指标${A}
4. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
5. 进入指标应用-指标看板页面，使用指标${A}新增并发布一个指标看板
6. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
7. 进入指标应用-指标树页面，使用指标${A}新增指标树
8. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
9. 进入指标应用-目标管理页面，使用指标${A}新增目标
10. 切换到指标中心-指标开发-指标定义页面，查看指标{A}详情-应用信息页面
11. 切换到指标市场-项目市场，选中指标${B}点击指标名称,查看指标详情-应用信息页面
12. 切换到[指标应用-取数模板]页面，删除引用指标${A}的取数模板
13. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
14. 切换到[指标应用-指标看板]页面，删除引用指标${A}的指标看板
15. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
16. 切换到[指标应用-指标树]页面，删除引用指标${A}的指标树
17. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
18. 切换到[指标应用-指标分析]页面，移除指标${A}的指标卡
19. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
20. 切换到[指标应用-目标管理]页面，删除指标${A}
21. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
22. 切换到指标市场-项目市场，选中指标${A_xiugai}点击指标名称,查看指标详情-应用信息页面","1. 系统提示创建成功，列表中出现新创建的记录，记录内容与填写一致
2. 【指标应用】Tab下数据更新：
统计数+1
正确展示取数模版场景的应用信息
3. 引入成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 【指标应用】Tab下数据更新：
统计数+1
正确展示指标分析场景的应用信息
5. 看板发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 【指标应用】Tab下数据更新：
统计数+1
正确展示指标看板场景的应用信息
7. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
8. 【指标应用】Tab下数据更新：
统计数+1
正确展示指标树场景的应用信息
9. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
10. 【指标应用】Tab下数据更新：
统计数+1
正确展示目标管理场景的应用信息
11. 【指标应用】Tab下数据同步更新：
表格数据依次展示取数模版、指标分析、指标看板、指标树、目标管理的应用情况
12. 系统提示删除成功，该条记录从列表中消失，总记录数减1
13. 取数模板记录同步删除，统计数-1
14. 系统提示删除成功，该条记录从列表中消失，总记录数减1
15. 指标看板记录同步删除，统计数-1
16. 系统提示删除成功，该条记录从列表中消失，总记录数减1
17. 指标树记录同步删除，统计数-1
18. 移除成功，系统给出删除成功提示，该记录从列表中消失
19. 指标分析记录同步删除，统计数-1
20. 系统提示删除成功，该条记录从列表中消失，总记录数减1
21. 目标管理记录同步删除，统计数-1
22. 指标应用模块同步更新","2","功能测试"
"178343","验证原子指标详情页应用模块同步更新功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，以【超级管理员admin】账号操作，进入项目${project}，创建数据：原子指标${A}，并且被指标应用中的模块引用
4、项目${project}内存在用户${user1},角色：项目管理员","1. 进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板
2. 登录用户${user1},进入指标平台-指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
3. 切换到[指标应用-取数模板]页面，选中引用指标${A}的取数模板，点击取数
4. 点击保存取数模板，修改模板名称点击确定
5. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
6. 切换到[指标应用-指标看板]页面，选中引用指标${A}的指标看板，点击编辑，修改看板名称，保存并发布
7. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
8. 切换到[指标应用-指标树]页面，选中引用指标${A}的指标树，点击编辑，修改指标树名称，保存并发布
9. 切换到指标中心-指标开发-指标定义页面，查看指标${A}的指标详情-应用信息-指标应用Tab
10. 关闭指标详情滑窗，编辑指标${A},修改名称为${A_xiugai}，其他信息不变，保存并发布指标
11. 点击指标${A_xiugai}名称，查看指标详情-应用信息-指标应用Tab
12. 切换到[指标应用-目标管理]页面，选中指标${A}，点击编辑，修改目标值，保存并发布
13. 切换到指标中心-指标开发-指标定义页面，查看派生指标${A}的指标详情-应用信息-指标应用Tab
14. 切换到指标市场-项目市场，选中指标${A_xiugai}点击指标名称,查看指标详情-应用信息页面","1. 成功进入指标应用-自助取数-数据查询页面，使用指标${A}创建一个取数模板页面，页面内容正常加载显示，无报错
2. 展示指标应用信息，更新人为${admin}
3. 跳转到自助取数页面
4. 模板名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 取数模板名称、更新时间同步更新，更新人变为${user1}
6. 发布成功，看板名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 指标看板名称、更新时间同步更新，更新人变为${user1}
8. 发布成功，指标树名称修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 指标树名称、更新时间同步更新，更新人变为${user1}
10. 发布成功,指标定义列表页同步更新
11. 指标分析、目标管理的指标名称同步更新
12. 系统提示发布成功，发布状态更新，相关页面可访问
13. 目标管理 更新时间同步更新，更新人变为${user1}
14. 指标应用模块同步更新","2","功能测试"
"178342","验证原子指标-应用模块名称支持跳转功能","指标开发-指标应用","指标应用信息补充应用模块的场景","1、指标配置文件中：datasource.type=starrocks
2、控制台配置 StarRocks SQL 计算组件，版本选择3.x，测试连通性通过
3、指标平台存在项目${project}，项目${project}内存在数据：原子指标${A}，并且被指标应用中的除API外其他模块引用
4、以【超级管理员admin】账号操作，进入项目${project}","1. 进入指标中心-指标开发-指标定义页面，查看原子指标${A}的指标详情-应用信息-指标应用Tab
2. 点击取数模版名称
3. 点击指标分析的指标名称
4. 点击指标看板名称
5. 点击指标树名称
6. 点击目标管理的指标名称","1. 展示指标应用信息
2. 跳转至【指标应用-取数模版】，搜索当前模版进行记录展示
3. 跳转至【指标应用-指标分析】，搜索当前指标进行记录展示
4. 跳转至【指标应用-指标看版】，搜索当前看板进行记录展示
5. 跳转至【指标应用-指标树】，搜索当前指标树进行记录展示
6. 跳转至【指标应用-目标管理】，搜索当前指标进行记录展示，","2","功能测试"
