"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"162092","验证左侧增加 经营过程管理 模块","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理 ，查看左侧模块列表","1. 展示经营过程管理列表","3","功能测试"
"162091","验证按钮权限","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 【经营管理】-【经营过程管理】-【经营过程分类】-【新增】若有权限
3. 【经营管理】-【经营过程管理】-【经营过程分类】-【编辑】若有权限
4. 【经营管理】-【经营过程管理】-【经营过程分类】-【删除】若有权限
5. 【经营管理】-【经营过程管理】-【编辑经营过程】若有权限
6. 【经营管理】-【经营过程管理】-【编辑经营过程】若有权限","1. 进入经营过程管理列表
2. 按钮可见，点击可操作；反之不可见不操作
3. 按钮可见，点击可操作；反之不可见不操作
4. 按钮可见，点击可操作；反之不可见不操作
5. 按钮可见，点击可操作；反之不可见不操作
6. 按钮可见，点击可操作；反之不可见不操作","1","功能测试"
"162090","验证点击新增经营过程分类","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 点击新增
3. 支持输入，未填写不保存，填写自动保存
4. 长度限制64字符
5. 输入已存在的名称","1. 进入经营过程管理列表
2. 下方列表顶部出现新增输入行
3. 输入成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 超长输入，报错文案：限制输入64字符
5. 不可重复，文案提示：名称重复","1","功能测试"
"162089","验证经营过程分类 点击事件分类目录是否具备筛选功能","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 选中左侧的一个目录分类","1. 列表筛选结果正确，内容与预期完全一致，无异常或错误","2","功能测试"
"162088","验证点击编辑经营过程分类","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 点击编辑，修改分类名称，校验规则同新增
3. 修改保存成功后","1. 进入经营过程管理列表
2. 编辑保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
3. 引用该字段的地方如经营过程列表、编辑、详情，同步更新","2","功能测试"
"162087","验证点击删除经营过程分类","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 点击删除，若分类下没有经营过程的
3. 点击删除，若分类下有经营过程的","1. 进入经营过程管理列表
2. 系统提示删除成功，该条记录从列表中消失，总记录数减1
3. 无法删除，后端提示：当前目录下有经营过程被管理，当前目录暂不可删除","1","功能测试"
"162086","验证经营过程名称搜索","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 提示词：输入经营过程名称进行搜索
3. 支持输入搜索，输入后自动检索，支持模糊匹配","1. 进入经营过程管理列表
2. 正确展示
3. 搜索结果正确，内容与预期完全一致，无异常或错误","2","功能测试"
"162085","验证列表展示","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 列表包含经营过程名称、经营过程标识、经营过程描述、经营目标影响范围、经营过程分类、经营过程来源、负责用户组、负责人、最近更新人、最近更新时间、操作
3. 当第二页只有1条数据，点击删除","1. 进入经营过程管理列表
2. 字段正确，内容与预期完全一致，无异常或错误
3. 列表显示不正确，内容与预期完全一致，无异常或错误","3","功能测试"
"162084","验证经营过程创建来源","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 来源于SDK创建
3. 手动创建","1. 进入经营过程管理列表
2. 经营过程来源字段= 系统同步
3. 经营过程来源字段=手动创建","1","功能测试"
"162083","验证列表排序","指标开发-经营过程管理","经营过程管理：支持经营过程的增删改查","无","1. 点击经营管理-经营过程管理
2. 按照最新更新时间倒排","1. 进入经营过程管理列表
2. 排序正确，内容与预期完全一致，无异常或错误","2","功能测试"
