"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"160720","验证【注册看板】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面，点击注册看板
2. 输入看板名称、看板标识、描述信息、注册链接、动态URL参数、选择引用指标
3. 返回指标看板列表","1. 出现注册看板弹窗
2. 注册看板成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 看板注册成功，展示看板来源为注册，状态未发布","1","功能测试"
"160719","验证【注册看板】的【发布】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 构造指标看板数据
3. 操作 【未发布】状态的看板
4. 操作 【已发布】状态的看板
5. 操作 【编辑待发布】状态的看板
6. 操作 【已下线】状态的看板","1. 页面正常访问
2. 数据初始化完成
3. 支持发布
4. 不支持发布
5. 支持发布
6. 支持发布","1","功能测试"
"160718","验证编辑【注册看板】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 构造指标看板数据
3. 操作 【未发布】状态的看板
4. 操作 【已发布】状态的看板
5. 操作 【编辑待发布】状态的看板
6. 操作 【已下线】状态的看板
7. 操作 编辑 按钮
8. 编辑看板信息
9. 修改看板名称，点击确定","1. 页面正常访问
2. 数据初始化完成
3. 支持编辑
4. 支持编辑
5. 支持编辑
6. 支持编辑
7. 进入编辑模型页面
8. 看板名称、描述信息、注册链接、动态URL参数、选择引用指标可编辑，
看板标识置灰不可以编辑
9. 返回看板列表页，看板名称更新","1","功能测试"
"160717","验证【注册看板】的【下线】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 构造指标看板数据
3. 操作 【未发布】状态的看板
4. 操作 【已发布】状态的看板
5. 操作 【编辑待发布】状态的看板
6. 操作 【已下线】状态的看板
7. 操作 已发布状态的看板-> 下线按钮
8. 操作 编辑待发布状态的看板-> 下线按钮","1. 页面正常访问
2. 数据初始化完成
3. 不支持下线
4. 支持下线
5. 支持下线
6. 不支持下线
7. 操作成功，提示下线成功，状态显示 已下线 状态。操作栏显示 发布，编辑，删除按钮
8. 操作成功，提示下线成功，状态显示 已下线 状态。操作栏显示 发布，编辑，删除按钮","2","功能测试"
"160716","验证【注册看板】的【删除】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 构造指标看板数据
3. 操作 【未发布】状态的看板
4. 操作 【已发布】状态的看板
5. 操作 【编辑待发布】状态的看板
6. 操作 【已下线】状态的看板
7. 操作 未发布状态的看板-> 删除按钮
8. 操作 已下线状态的看板-> 删除按钮","1. 页面正常访问
2. 数据初始化完成
3. 支持删除
4. 不支持删除
5. 不支持删除
6. 支持删除
7. 操作成功，提示删除成功，列表页不展示看板
8. 操作成功，提示删除成功，列表页不展示看板","2","功能测试"
"160715","验证【注册看板】的【查看】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 构造指标看板数据
3. 操作 【未发布】状态的看板
4. 操作 【已发布】状态的看板
5. 操作 【编辑待发布】状态的看板
6. 操作 【已下线】状态的看板
7. 操作 已发布状态的看板-> 查看按钮
8. 操作 编辑待发布状态的看板-> 查看按钮","1. 页面正常访问
2. 数据初始化完成
3. 不支持查看
4. 支持查看
5. 支持查看
6. 不支持查看
7. 操作成功，当前页面进入看板详情页面
8. 操作成功，当前页面进入看板详情页面","1","功能测试"
"160714","验证【注册看板】的【新窗口查看】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 构造指标看板数据
3. 操作 【未发布】状态的看板
4. 操作 【已发布】状态的看板
5. 操作 【编辑待发布】状态的看板
6. 操作 【已下线】状态的看板
7. 操作 已发布状态的看板-> 查看按钮
8. 操作 编辑待发布状态的看板-> 查看按钮","1. 页面正常访问
2. 数据初始化完成
3. 不支持查看
4. 支持查看
5. 支持查看
6. 不支持查看
7. 操作成功，开启新窗口进入看板详情页面
8. 操作成功，开启新窗口进入看板详情页面","2","功能测试"
"160713","验证【注册看板】的【分享】功能","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 构造指标看板数据
3. 操作 【未发布】状态的看板
4. 操作 【已发布】状态的看板
5. 操作 【编辑待发布】状态的看板
6. 操作 【已下线】状态的看板
7. 操作 已发布状态的看板-> 分享按钮
8. 点击复制
9. 操作 编辑待发布状态的看板-> 分享按钮
10. 点击复制","1. 页面正常访问
2. 数据初始化完成
3. 不支持分享
4. 支持分享
5. 支持分享
6. 不支持分享
7. 操作成功，出现分享看板弹窗：
第一行 提示具有看板数据查看权限的用户，可通过以下链接查看看板详情。
第二行 看板名称：{看板名称}。
第三行 分享链接。
第四行 取消按钮，复制按钮。
8. 复制链接成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 操作成功，出现分享看板弹窗：
第一行 提示具有看板数据查看权限的用户，可通过以下链接查看看板详情。
第二行 看板名称：{看板名称}。
第三行 分享链接。
第四行 取消按钮，复制按钮。
10. 复制链接成功，系统给出成功反馈，相关页面/数据状态更新为最新","1","功能测试"
"160712","验证【注册看板】弹窗展示","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 指标应用-指标看板，点击注册看板
3. 看板名称
4. 看板标识
5. 描述信息
6. 注册链接
7. 动态URL参数
8. 引用指标","1. 成功进入【指标应用-指标看板】页面，页面内容正常加载显示，无报错
2. 出现注册看板弹窗
3. 必填文本输入框，默认为空，限制输入64字符，提示词：请输入看板名称
4. 必填文本输入框，默认为空，限制输入64字符，提示词：请输入看板标识
5. 非必填，文本输入框，默认为空，限制输入200字符，提示词：请输入描述
6. 必填文本输入框，默认为空，提示词：请输入注册链接
7. 默认未选中，选中后增加文本输入框，限制输入500字符，提示词：请输入参数名称
8. 非必选，多选，默认为空，提示词：请选择看板引用指标","3","功能测试"
"160711","验证【注册看板】弹窗异常情况校验","指标开发-指标看板","指标看板支持注册","无","1. 进入 【指标应用-指标看板】页面
2. 同一项目下，输入重复看板名称
3. 同一项目下，输入重复看板标识","1. 成功进入【指标应用-指标看板】页面，页面内容正常加载显示，无报错
2. 异常提示：看板名称重复
3. 异常提示：看板标识重复","2","功能测试"
