"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"160478","验证历史数据编辑","指标开发-维度管理","维度管理支持SQL定义维表","1、存在历史维度属性名称：用户id、属性标识：user_id，维表选择index_catalog.index_schema.order，字段user_id","1. 进入订单维度对象编辑页面
2. 编辑历史维度属性
3. 新增逻辑表：输入表字段名：用户id、自定义SQL：SELECT DISTINCT u.user_idFROM index_catalog.index_schema.user uINNER JOIN index_catalog.index_schema.“order“ o ON u.user_id = o.user_idWHERE u.create_time >= '2025-01-01 00:00:00' AND u.create_time < '2026-01-01 00:00:00';点击规范性校验
4. 点击保存","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 回显数据展示正确，新增逻辑表展示
3. 规范性校验通过，状态展示已通过
4. 系统提示保存成功，修改内容已生效并在页面中更新显示","1","功能测试"
"160477","验证手动新增-新增逻辑表并导入维值功能","指标开发-维度管理","维度管理支持SQL定义维表","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, '2025-03-15'),
(1002, 150.50, 5002, '2025-04-21'),
(1003, 88.00, 5003, '2025-05-26');
index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
('1001', 'Alice', '2025-03-15 10:20:00'),
('1002', 'Bob', '2025-04-20 14:35:00'),
('1003', 'Charlie', '2025-05-25 09:10:00'),
('1004', 'Tom', '2024-05-25 09:10:00');","1. 进入订单维度对象编辑页面
2. 维度管理-项目维度页面，操作新建维度对象按钮
3. 输入：维度对象名称：订单、维度对象标识信息：order、维度对象描述：订单维度，点击保存
4. 返回维度管理-项目维度页面
5. 进入订单维度对象详情页面，操作新建维度属性按钮
6. 新增方式：手动新增；物理表：输入维度属性名称：用户id、属性标识：user_id，新增维表：选择index_catalog、选择index_schema、选择维表order，选择字段user_id
7. 逻辑表：输入表字段名：用户id、自定义SQL：SELECT DISTINCT u.user_idFROM index_catalog.index_schema.user uINNER JOIN index_catalog.index_schema.order o ON u.user_id = o.user_idWHERE u.create_time >= '2025-01-01 00:00:00' AND u.create_time < '2026-01-01 00:00:00';点击规范性校验
8. 点击 设为默认
9. 点击确定
10. 查看维度对象的关联表字段详情
11. 点击 用户id
12. 点击【新增维值】
13. 新增维值：输入维值名称：1001；点击【新增维值】
14. 点击【导入维值】
15. 导入维值：维值查询来源，选择 用户id 字段
16. 点击【全选】，点击【导入所选维值】","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 进入新增维度对象页面
3. 新建维度对象成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 新增维度对象订单
5. 进入新建维度属性页面
6. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
7. 规范性校验通过，状态展示已通过
8. 逻辑表 用户id 展示默认标识
9. 维度属性添加成功，新增用户id维度属性成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. 关联维表详情中的信息展示正确（维表类型：维表、catalog、schema、表名、字段名称）
11. 出现维值详情弹窗：
第一行展示：维度属性名称、维度属性标识；
第二行展示：维值详情，搜索框，操作按钮【新增维值】【导入维值】；
第三行展示：维值，操作按钮【删除】；
12. 出现新增维值弹窗
13. 新增维值1001成功，系统给出成功反馈，相关页面/数据状态更新为最新
14. 出现导入维值弹窗
15. 根据逻辑表SQL逻辑筛选，展示值：1002、1003
16. 导入所有维值成功，维值详情展示1001、1002、1003","1","功能测试"
"160476","验证手动新增-编辑逻辑表并导入维值功能","指标开发-维度管理","维度管理支持SQL定义维表","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, '2025-03-15'),
(1002, 150.50, 5002, '2025-04-21'),
(1003, 88.00, 5003, '2025-05-26');
index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
('1001', 'Alice', '2025-03-15 10:20:00'),
('1002', 'Bob', '2025-04-20 14:35:00'),
('1003', 'Charlie', '2025-05-25 09:10:00'),
('1004', 'Tom', '2024-05-25 09:10:00');
2、存在维度对象订单
3、配置物理表维度属性名称：用户id、属性标识：user_id，维表选择index_catalog.index_schema.order，字段user_id
4、配置逻辑表：订单id，SELECT  o.order_id
FROM index_catalog.index_schema.user u
INNER JOIN index_catalog.index_schema.order o ON u.user_id = o.user_id;
5、默认表字段：物理表用户id","1. 进入订单维度对象编辑页面
2. 删除物理表、逻辑表配置
3. 配置逻辑表：输入表字段名：用户id、自定义SQL：SELECT DISTINCT u.user_idFROM index_catalog.index_schema.user uINNER JOIN index_catalog.index_schema.order o ON u.user_id = o.user_idWHERE u.create_time >= '2025-01-01 00:00:00' AND u.create_time < '2026-01-01 00:00:00';点击规范性校验
4. 设置逻辑表用户id为默认表字段
5. 点击保存
6. 点击 用户id
7. 点击【新增维值】
8. 新增维值：输入维值名称：1001；点击【新增维值】
9. 点击【导入维值】
10. 导入维值：维值查询来源，选择 用户id 字段
11. 点击【全选】，点击【导入所选维值】
12. 查看 复合指标维值预览/API维值预览取值
13. 查看筛选条件下拉框取值","1. 页面回显正确，内容与预期完全一致，无异常或错误
2. 系统提示删除成功，该条记录从列表中消失，总记录数减1
3. 规范性校验通过，状态展示已通过
4. 设置成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 系统提示保存成功，修改内容已生效并在页面中更新显示
6. 出现维值详情弹窗：
第一行展示：维度属性名称、维度属性标识；
第二行展示：维值详情，搜索框，操作按钮【新增维值】【导入维值】；
第三行展示：维值，操作按钮【删除】；
7. 出现新增维值弹窗
8. 新增维值1001成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 出现导入维值弹窗
10. 根据逻辑表SQL逻辑筛选，展示值：1002、1003
11. 导入所有维值成功，维值详情展示1001、1002、1003
12. 维值从默认新维表中取前100个记录进行展示
13. 维值从默认新维表中取前100个记录进行展示","1","功能测试"
"160474","验证维表根据默认标识获取维值","指标开发-维度管理","维度管理支持SQL定义维表","1、存在表index_catalog.index_schema.order(user_id BIGINT、amout DECIMAL(10, 2)、order_id BIGINT、order_date DATE）；
INSERT INTO index_catalog.index_schema.“order“ (user_id, amount, order_id, order_date) VALUES
(1001, 299.99, 5001, '2025-03-15'),
(1002, 150.50, 5002, '2025-04-21'),
(1003, 88.00, 5003, '2025-05-26');
index_catalog.index_schema.user(user_id BIGINT 、name VARCHAR(50)、create_time DATETIME）；
INSERT INTO index_catalog.index_schema.user (user_id, name, create_time) VALUES
('1001', 'Alice', '2025-03-15 10:20:00'),
('1002', 'Bob', '2025-04-20 14:35:00'),
('1003', 'Charlie', '2025-05-25 09:10:00'),
('1004', 'Tom', '2024-05-25 09:10:00');
2、存在维度对象订单
3、配置物理表维度属性名称：用户id、属性标识：user_id，维表选择index_catalog.index_schema.order，字段user_id
4、配置逻辑表：订单id，SELECT  o.order_id
FROM index_catalog.index_schema.user u
INNER JOIN index_catalog.index_schema.order o ON u.user_id = o.user_id;
5、默认表字段：物理表用户id","1. 进入订单维度对象编辑页面
2. 点击 用户id
3. 点击【新增维值】
4. 新增维值：输入维值名称：1001；点击【新增维值】
5. 点击【导入维值】
6. 导入维值：维值查询来源，选择 用户id 字段
7. 点击【全选】，点击【导入所选维值】
8. 进入订单维度对象编辑页面
9. 设置逻辑表订单id为默认表字段
10. 点击保存
11. 点击 用户id
12. 点击【新增维值】
13. 新增维值：输入维值名称：1001；点击【新增维值】
14. 点击【导入维值】
15. 导入维值：维值查询来源，选择 用户id 字段
16. 点击【全选】，点击【导入所选维值】","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 维值展示为空
3. 出现新增维值弹窗
4. 新增维值1001成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 出现导入维值弹窗
6. 根据逻辑表SQL逻辑筛选，展示值：1002、1003
7. 导入所有维值成功，维值详情展示1001、1002、1003
8. 页面回显正确，内容与预期完全一致，无异常或错误
9. 设置成功，物理表表用户id表字段默认取消
10. 系统提示保存成功，修改内容已生效并在页面中更新显示
11. 维值展示1001、1002、1003
12. 出现新增维值弹窗
13. 新增维值5001成功，系统给出成功反馈，相关页面/数据状态更新为最新
14. 出现导入维值弹窗
15. 根据逻辑表SQL逻辑筛选，展示值：5002、5003
16. 导入所有维值成功，维值详情展示1001、1002、1003、5001、5002、5003","1","功能测试"
"160473","验证逻辑表-表字段名称交互","指标开发-维度管理","维度管理支持SQL定义维表","无","1. 进入订单维度对象编辑页面
2. 不输入 表字段名，直接点击 保存
3. 输入重复 表字段名","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 提示异常：请输入表字段名，表字段必填
3. 提示异常，表字段名不可重复","3","功能测试"
"160472","验证逻辑表-自定义SQL交互","指标开发-维度管理","维度管理支持SQL定义维表","无","1. 进入订单维度对象编辑页面
2. 不输入 自定义SQL，直接点击 保存
3. 输入单字段自定义SQL：select user_id from t_user；
4. 输入多字段自定义SQL：select user_id1，user_id2 from t_user；
5. 输入错误自定义SQL：select a；","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 提示异常：请输入自定义SQL，表字段必填
3. 规范性校验通过，状态展示已通过
4. 规范性校验失败，状态展示未通过，报错：校验有多个备选字段，请保留其中一个作为逻辑表使用字段
5. 规范性校验失败，状态展示未通过，日志展示错误信息","3","功能测试"
"160471","验证逻辑表-新增/编辑未校验 SQL 直接保存","指标开发-维度管理","维度管理支持SQL定义维表","无","1. 进入订单维度对象编辑页面
2. 输入合法 SQL：select user_id from t_user；未点击 “规范校验”，直接保存
3. 输入错误 SQL：select a；未点击 “规范校验”，直接保存","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 系统自动执行校验，校验通过，保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
3. 系统自动执行校验，校验未通过，保存失败","3","功能测试"
"160470","验证逻辑表-规范性校验","指标开发-维度管理","维度管理支持SQL定义维表","无","1. 进入订单维度对象编辑页面
2. 自定义SQL未点击规范性校验
3. 自定义SQL校验通过
4. 自定义SQL校验失败
5. 自定义SQL校验中","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 状态展示待通过
3. 状态展示已通过
4. 状态展示未通过，右侧增加日志标识
5. 状态展示校验中","2","功能测试"
"160469","验证逻辑表-删除","指标开发-维度管理","维度管理支持SQL定义维表","无","1. 进入订单维度对象编辑页面
2. 新增逻辑表字段
3. 点击删除","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
3. 直接删除成功，系统给出删除成功提示，该记录从列表中消失","2","功能测试"
"160468","验证逻辑表-日志功能","指标开发-维度管理","维度管理支持SQL定义维表","无","1. 进入订单维度对象编辑页面
2. 自定义SQL未点击规范性校验
3. 自定义SQL校验中
4. 自定义SQL校验通过
5. 自定义SQL校验失败
6. 点击日志标识
7. 点击关闭","1. 成功进入订单维度对象编辑页面，页面内容正常加载显示，无报错
2. 日志标识不展示
3. 日志标识不展示
4. 日志标识不展示
5. 日志标识展示
6. 出现日志弹窗，展示日志内容
7. 关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新","3","功能测试"
