"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"162155","验证左侧增加 经营策略管理 模块","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","无","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，查看左侧模块列表
2. 切换到【经营策略管理】菜单，查看页面
3. 查看经营策略分类搜索栏
4. 查看经营策略搜索栏","1. 展示经营策略管理
2. 页面进入正常，左侧展示经营策略分类，新增经营策略按钮，展示经营策略列表，列表默认展示：暂无数据，列表字段包括经营策略名称、经营策略描述、经营策略分类、最近更新人、最近更新时间、操作
列表按照最近更新时间降序排列
3. placeholder提示：请输入关键词
支持根据经营策略分类名称模糊搜索
4. placeholder提示：请输入经营策略名称进行搜索
支持根据经营策略名称模糊搜索，位于非首页搜索时结果正确展示。","3","功能测试"
"162154","验证 新增经营策略分类 文本输入框","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","无","1. 输入为空
2. 输入与已有名称重复
3. 输入字符数>64","1. 不保存
2. 新增失败，提示：名称重复
3. 新增失败，提示：限制输入64字符","3","功能测试"
"162153","验证 新增经营策略分类 功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","无","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击“+”
3. 输入不规范的信息，点击确认
4. 输入规范的信息，点击确认
5. 再次点击新增","1. 经营策略分类列表初始化：暂无数据
2. 直接下方列表顶部新增输入行
3. 页面提示对应的错误信息
4. 校验通过，新增经营策略分类成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 上次新增的内容不保留","1","功能测试"
"162152","验证 经营策略分类 搜索功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","无","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击经营策略分类搜索框，输入经营策略分类名称","1. 经营策略管理页面展示正确，内容与预期完全一致，无异常或错误
2. 支持模糊搜索，匹配正确的结果","3","功能测试"
"162151","验证点击经营策略分类对右侧策略筛选功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","1.存在多个经营策略分类
2.每个经营策略分类下都有经营策略","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击某个经营策略分类","1. 经营策略管理页面展示正确，内容与预期完全一致，无异常或错误
2. 右侧经营策略列表筛选出该经营策略分类下的经营策略","2","功能测试"
"162149","验证 编辑经营策略分类 功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","1.存在经营策略分类“经营场景_注册”
2.该经营策略分类被经营策略引用","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击“经营场景_注册”后方的“...”，点击编辑
3. 修改分类名称，校验规则同新增
4. 查看右侧经营策略列表","1. 经营策略管理页面展示正确，内容与预期完全一致，无异常或错误
2. 字段回显正确，内容与预期完全一致，无异常或错误
3. 编辑保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 经营策略分类列字段同步更新","2","功能测试"
"162148","验证分类下无经营策略的经营策略分类的删除功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","1.存在经营策略分类“经营场景_注册”。2.分类下没有经营策略记录","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击“经营场景_注册”后方的“...”
3. 点击“删除”","1. 展示经营策略管理页面
2. 显示“编辑”“删除”按钮
3. 系统提示删除成功，该条记录从列表中消失，总记录数减1","2","功能测试"
"162147","验证分类下有经营策略的经营策略分类的删除功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","1.存在经营策略分类“经营场景_非注册”。2.该分类下有经营策略。","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击“经营场景_非注册”后方的“...”
3. 点击“删除”","1. 展示经营策略管理页面
2. 显示“编辑”“删除”按钮
3. 删除失败，后端校验提示文案：当前目录下有经营策略被管理，当前目录暂不可删除","1","功能测试"
"162146","验证 新增经营策略 文本校验功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","无","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击“新增经营策略”
3. 查看基本信息展示
4. 经营策略名称输入框：输入已存在的名称
5. 经营策略名称输入框：长度限制 超过64字符
6. 经营策略名称输入框：为空
7. 经营策略名称输入框：placeholder内容
8. 经营策略描述输入框：长度限制 超过500字符
9. 经营策略描述输入框：为空
10. 经营策略描述输入框：placeholder内容
11. 经营策略分类多选框：个数限制 选择分类数=10
12. 经营策略分类多选框：为空
13. 经营策略分类多选框：placeholder内容","1. 展示经营策略管理页面
2. 页面弹出新增经营策略弹窗
3. 展示标题：新增经营策略， *经营策略名称，经营策略描述，*经营策略分类，确认，取消，X
4. 页面提示：经营策略名称重复
5. 页面提示：限制输入64字符
6. 页面提示：请输入经营策略名称
7. 请输入经营策略名称
8. 页面提示：限制输入500字符
9. 校验通过
10. 请输入经营策略描述
11. 余下经营策略分类置灰 不可选
12. 页面提示：请选择经营策略分类
13. 请选择经营策略分类","3","功能测试"
"162145","验证新增经营策略功能","指标开发-经营策略管理","经营策略管理：支持经营策略的增删改查","无","1. 登录指标平台，进入具体项目下，切换到经营策略 菜单，点击经营策略管理
2. 点击“新增经营策略”
3. 输入不规范的信息，点击确认
4. 输入规范的信息，点击确认
5. 再次点击新增
6. 点击取消","1. 经营策略列表暂无数据
2. 页面弹出新增经营策略弹窗
3. 页面提示对应的错误信息
4. 校验通过，新增经营策略成功，经营策略列表页面统计数+1
5. 上次新增的内容不保留
6. 退出新增经营策略页面","1","功能测试"
