"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"160457","验证编辑模型-修改t0表SQL 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：逻辑表，
逻辑SQL：select teacher_id, name,gender,age,amount,update_time from $catalog.$schema.teacher_table1 where age > 20
选择维度：teacher_id，name，gender，update_time
度量列：age,amount
存储为逻辑关系
2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；
3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time
4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，修改逻辑SQL：select teacher_id, name,gender,age,amount,update_time from $catalog.$schema.teacher_table1 where age between 20 and 200，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标定义列表页面查看yz_01详情
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
model_01：已发布，yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（引用编辑后的模型SQL）","1","功能测试"
"160456","验证编辑模型-修改主表来源（逻辑表→物理表） 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：逻辑表，
逻辑SQL：select teacher_id, name,gender,age,amount,update_time from $catalog.$schema.teacher_table1 where age > 20
选择维度：teacher_id，name，gender，update_time
度量列：age,amount
存储为逻辑关系
2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；
3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time
4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，修改主表来源：物理表，选择catalog、schema、teacher_table1，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标定义列表页面查看yz_01详情
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（引用编辑后的模型SQL）","2","功能测试"
"160455","验证编辑模型-修改主表来源（物理表→逻辑表） 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：物理表，
catalog：default_catalog，schema：$schema，table：teacher_table1，
维度列：teacher_id，name，gender，department_id，update_time
度量列：age,amount
存储为逻辑关系

2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；

3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，修改主表来源：逻辑表，逻辑SQL：select teacher_id, name,gender,age,amount,update_time from $catalog.$schema.teacher_table1 where age between 20 and 200，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标定义列表页面查看yz_01详情
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（引用编辑后的模型SQL）","1","功能测试"
"160454","验证编辑模型-增加关联表-不增加维度列 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：物理表，
catalog：default_catalog，schema：$schema，table：teacher_table1，
维度列：teacher_id，name，gender，department_id，update_time
度量列：age,amount
存储为逻辑关系
2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；
3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time
4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，添加关联表，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标定义列表页面查看yz_01详情
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（引用编辑后的模型SQL）","2","功能测试"
"160453","验证编辑模型-删除关联表-不删除维度列 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：物理表，
catalog：default_catalog，schema：$schema，table：teacher_table1，关联表：catalog：default_catalog，schema：$schema，table：teacher_table2
维度列：teacher_table1-teacher_id，teacher_table1-name，teacher_table1-gender，teacher_table1-department_id，teacher_table1-update_time
度量列：age,amount
存储为逻辑关系

2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；

3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，删除关联表，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标定义列表页面查看yz_01详情
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
model_01：已发布，yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（引用编辑后的模型SQL）","2","功能测试"
"160452","验证编辑模型-增加维度列 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：逻辑表，
逻辑SQL：select teacher_id, name,gender,age,amount,department_id,update_time from $catalog.$schema.teacher_table1 where age > 20
选择维度：teacher_id，name，gender，update_time
度量列：age,amount
存储为逻辑关系

2、用model_01创建原子指标：
yz_01（已发布），计算逻辑：avg(amount)；
yz_02（已发布），计算逻辑：sum(amount)；


3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

4、yz_02创建即席查询派生指标：jx_ps_02（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

5、jx_ps_01创建即席查询复合指标：jx_fuhe_01（已发布），维度列：teacher_id，name，gender

6、jx_ps_01+ jx_ps_02+jx_fuhe_01创建即席查询复合指标：jx_fuhe_02（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，增加维度列：department_id（关联维度对象：教师，关联维度属性：学院ID），其他信息不变化，保存并发布
3. 点击确认
4. 点击发布并更新下游指标
5. 点击确定
6. 指标市场页面查看yz_01详情
7. 指标市场页面查看yz_02详情
8. 指标定义列表页面查看jx_ps_01详情
9. 指标定义列表页面查看jx_ps_01详情
10. 指标定义列表页面查看jx_fuhe_01详情
11. 指标定义列表页面查看jx_fuhe_02详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 本次更新，产生新维度：$教师/学院ID$、请确认下游指标同步新增范围：
model_01---->yz_01(必选，默认勾选，不可取消)--->jx_ps_01(默认勾选，支持取消)--->jx_fuhe_01(默认勾选，支持取消)--->jx_fuhe_02(默认勾选，支持取消)
---->yz_02(必选，默认勾选，不可取消)--->jx_ps_01(默认勾选，支持取消)
3. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：
yz_01，yz_02，jx_ps_01，jx_ps_02，jx_fuhe_01，jx_fuhe_02
4. 模型及其下游指标展示更新进度：
model_01：已发布
yz_01：已发布
yz_02：已发布
jx_ps_01：已发布
jx_ps_02：已发布
jx_fuhe_01：已发布
jx_fuhe_02：已更新
5. 关闭弹窗
6. 维度支持字段增加：教师/学院ID，SQL逻辑拼接正确，版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 维度支持字段增加：教师/学院ID，SQL逻辑拼接正确，版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-维度支持字段增加：教师/学院ID，SQL逻辑拼接正确，版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
进入自助取数-数据查询页面，数据查询正确，内容与预期完全一致，无异常或错误
9. 基本属性-技术信息-维度支持字段增加：教师/学院ID，SQL逻辑拼接正确，版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
进入自助取数-数据查询页面，数据查询正确，内容与预期完全一致，无异常或错误
10. 基本属性-技术信息-维度支持字段增加：教师/学院ID，SQL逻辑拼接正确，版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
进入自助取数-数据查询页面，数据查询正确，内容与预期完全一致，无异常或错误
11. 基本属性-技术信息-维度支持字段增加：教师/学院ID，SQL逻辑拼接正确，版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（增加教师/学院ID维度列）
进入自助取数-数据查询页面，不展示教师/学院ID维度列，数据查询正确","1","功能测试"
"160451","验证编辑模型-修改主表 catalog/schema/table/更新方式/分区字段/字段类型 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：物理表，
catalog：default_catalog，schema：$schema，table：teacher_table1，
维度列：teacher_id，name，gender，department_id，update_time
度量列：age,amount
存储为逻辑关系

2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；

3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，修改主表 catalog/schema/table/更新方式/分区字段/字段类型，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标定义列表页面查看yz_01详情
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
model_01：已发布，yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（引用编辑后的模型SQL）","2","功能测试"
"160450","验证编辑模型-修改关联表 左表/关联关系/catalog/schema/关联表/更新方式/分区字段/日期格式/关联键-但不调整维度列 保存并发布 触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：物理表，
catalog：default_catalog，schema：$schema，table：teacher_table1，关联表：catalog：default_catalog，schema：$schema，table：teacher_table2
维度列：teacher_table1-teacher_id，teacher_table1-name，teacher_table1-gender，teacher_table1-department_id，teacher_table1-update_time
度量列：age,amount
存储为逻辑关系

2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；

3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，修改关联表 左表/关联关系/catalog/schema/关联表/更新方式/分区字段/日期格式/关联键，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标定义列表页面查看yz_01详情
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
model_01：已发布，yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-SQL信息正确（引用编辑后的模型SQL），版本变更页面 不 发布新版本，与当前版本对比中当前版本的SQL信息正确（引用编辑后的模型SQL）","2","功能测试"
"160449","验证编辑模型-维度列字段A切换B，字段A关联的维度对象/维度属性/切换到字段B（被下游派生/复合指标引用）触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：逻辑表，
逻辑SQL：select teacher_id, name,gender,age,amount,department_id,update_time from $catalog.$schema.teacher_table1 where age > 20
选择维度：teacher_id（关联维度对象：教师，关联维度属性：教师ID），name，gender，update_time
度量列：age,amount
存储为逻辑关系

2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；

3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，维度列，取消勾选teacher_id，选中department_id，department_id关联维度对象：教师，关联维度属性：教师ID，其他信息不变化，保存并发布
3. 点击发布并更新下游指标
4. yz_01，jx_ps_01，jx_fuhe_01更新成功
5. 点击确定
6. 指标市场列表页面查看yz_01维度支持字段
7. 指标定义列表页面查看jx_ps_01详情
8. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：
yz_01，jx_ps_01，jx_fuhe_01
3. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
4. 弹窗展示当前模型及其下游指标更新进度。
yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
5. 关闭弹窗
6. 未变化，展示：教师/教师ID维度列，版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
7. 基本属性-技术信息-维度支持字段：未变化，SQL信息正确（引用模型SQL片段增加：department_id，删除teacher_id维度列），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-维度支持字段：未变化，SQL信息正确（引用模型SQL片段增加：department_id，删除teacher_id维度列），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空","1","功能测试"
"160448","验证编辑模型-维度列字段A修改关联维度对象/关联维度属性（被下游派生/复合指标引用）触发联动更新功能","指标开发-指标定义","【指标定义】下游联动更新","1、创建model_01，主表来源选择：逻辑表，
逻辑SQL：select teacher_id, name,gender,age,amount,update_time from $catalog.$schema.teacher_table1 where age > 20
选择维度：teacher_id（关联维度对象：教师，关联维度属性：教师ID），name，gender，update_time
度量列：age,amount
存储为逻辑关系

2、用model_01创建原子指标：yz_01（已发布），计算逻辑：avg(amount)；

3、yz_01创建即席查询派生指标：jx_ps_01（已发布），维度列：teacher_id，name，gender，update_time，时间维度：update_time

4、jx_ps_01创建即席查询复合指标：jx_fuhe_01（未发布），维度列：teacher_id，name，gender","1. 进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存
2. 编辑模型：model_01，修改字段：teacher_id关联维度对象：学院，关联维度属性：教师ID，其他信息不变化，保存并发布
3. 点击确认
4. 点击发布并更新下游指标
5. yz_01，jx_ps_01，jx_fuhe_01更新成功
6. 点击确定
7. 指标市场列表页面查看yz_01维度支持字段
8. 指标定义列表页面查看jx_ps_01详情
9. 指标定义列表页面查看jx_fuhe_01详情","1. 成功进入指标定义列表页面，编辑原子指标-指标名称，其他信息不调整，点击保存页面，页面内容正常加载显示，无报错
2. 本次更新，产生新维度：$学院/教师ID$、请确认下游指标同步新增范围：
model_01---->yz_01(必选，默认勾选，不可取消)--->jx_ps_01(默认勾选，支持取消)--->jx_fuhe_01(默认勾选，支持取消)
3. 联动更新弹窗提示：本次更新，下游指标的引用将受影响，发布当前内容会同步更新受影响的下游指标
下游包含如下受影响的指标：
yz_01，jx_ps_01，jx_fuhe_01
4. 先更新模型内容，更新过程中【发布并更新下游指标】按钮文案变更为【更新中】，【取消】按钮不可点击
5. 弹窗展示当前模型及其下游指标更新进度。
yz_01：已发布，jx_ps_01：已发布，jx_fuhe_01：已更新
6. 关闭弹窗
7. 增加：学院/教师ID，删除教师/教师ID维度列，版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
8. 基本属性-技术信息-维度支持字段：增加：学院/教师ID，删除教师/教师ID维度列，SQL信息正确（增加：学院/教师ID，删除教师/教师ID维度列），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空
9. 基本属性-技术信息-维度支持字段：增加：学院/教师ID，删除教师/教师ID维度列，SQL信息正确（增加：学院/教师ID，删除教师/教师ID维度列），版本变更页面发布新版本，发布说明：引用的数据模型$model_01$的技术信息更新，系统自动发布，系统说明：展示为空","1","功能测试"
