用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
162051,验证Trino SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Trino元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162050,验证TiDB SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在TiDB元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162049,验证StarRocks SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在SR元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1,功能测试
162048,验证SQLServer同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在SQLServer元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2,功能测试
162047,验证SparkThrift同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在SparkThrift元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1,功能测试
162046,验证Seabox SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Seabox元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162045,验证Presto SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Presto元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162044,验证OushuDB SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Oushu元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2,功能测试
162043,验证Oracle SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Oracle元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1,功能测试
162042,验证OceanBase for Oracle同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在OB Oracle元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162041,验证OceanBase for MySQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在OB MySQL元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162040,验证MySQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在MySQL元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1,功能测试
162039,验证Inceptor SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Inceptor元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2,功能测试
162038,验证Impala SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Impala元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162037,验证HiveServer同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在HiveServer元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1,功能测试
162036,验证HashData SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在HashData元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162035,验证Hana SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Hana元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162034,验证Greenplum SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在GP元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2,功能测试
162033,验证GaussDB SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Gauss元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162032,验证Doris同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在Doris元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1,功能测试
162031,验证DMDB for Oracle同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,无,"1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2,功能测试
162030,验证DMDB for MYSQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在DM Oracle元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2,功能测试
162029,验证DB2 SQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在DB2 SQL元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
162028,验证AnalyticDB PostgreSQL同步删除功能正常,数据资产-元数据,数据资产-离线开发平台删除表后资产需要同步删除,"离线平台已存在AnalyticDB PostgreSQL元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3,功能测试
