"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"173990","验证编辑业务限定、数据权限受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下存在${catalog_a}.${schema_a}.${table_a1}

5、项目1的Meta数据源登录用户：root,在项目1下创建历史数据:使用${table_a1}创建并发布模型${model1},派生指标${ps1},并使用该模型和指标创建业务限定${限定1}和数据权限${权限1}，其中过滤条件的筛选规则都为“等于”

6、项目1的Meta数据源未授权user2:
${catolog_a}.${schema_a}.${table_a1}查看权限","1. 切换项目1的Meta数据源用户为：user2
2. 进入指标中心-数据管理-业务限定页面，选中业务限定${限定1}，点击编辑
3. 切换到授权与安全-数据权限页面，点击编辑权限规则${权限1}","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入编辑页面，报错
3. 进入编辑页面，报错","2","功能测试"
"173989","验证新增业务限定、数据权限受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下有${catalog_a}.${schema_a}.${table_a1}、${catalog_a}.${schema_a}.${table_b1}

5、项目1的Meta数据源登录用户：root,在项目1下创建历史数据:使用${table_a1}创建并发布模型${model1}、派生指标${ps1},使用${table_b1}创建并发布模型${model2}、派生指标${ps2}

6、项目1的Meta数据源授权user1:
${catolog_a}.${schema_a}.${table_a1}查看权限，无其他数据库、表查看权限","1. 切换项目1的Meta数据源用户为：user1
2. 进入指标中心-数据管理-业务限定页面，点击新增业务限定
3. 数据模型选择${model2}，筛选字段选择int类型，筛选规则选择等于
4. 数据模型选择${model1}，筛选字段选择int类型，筛选规则选择等于，填入其他必填信息点保存
5. 切换到指标中心-授权与安全-数据权限页面，点击新增数据权限
6. 指标选择${ps2}，筛选字段选择int类型，筛选规则选择等于
7. 指标选择${ps1}，筛选字段选择int类型，筛选规则选择等于，填入其他必填信息点保存","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入新增业务限定页面
3. 报错
4. 系统提示保存成功，修改内容已生效并在页面中更新显示
5. 进入新增数据权限页面
6. 报错
7. 系统提示保存成功，修改内容已生效并在页面中更新显示","2","功能测试"
"173987","验证编辑指标受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下存在${catalog_a}.${schema_a}.${table_a1}、${catolog_a}.${schema_a}.${table_b}

5、项目1的Meta数据源登录用户：root,在项目1下创建历史数据:使用${table_a1}创建并发布原子指标${yz1}、落表派生指标${ps1}

6、项目1的Meta数据源仅授权user2:
${catolog_a}.${schema_a}.${table_b}查看权限","1. 切换项目1的Meta数据源用户为：user2
2. 进入指标中心-指标开发-指标定义页面，选中原子指标${yz1}，点击编辑
3. 点击下一步
4. 返回指标定义页面，查看派生指标${ps1}详情，切换到调度信息tab，查看结果表数据预览
5. 关闭详情滑窗，点击编辑
6. 点击下一步、下一步","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入编辑指标页面
3. 计算逻辑校验不通过
4. 报错
5. 进入编辑指标页面
6. 试计算不通过","2","功能测试"
"173985","验证新增派生指标受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下有${catalog_a}.${schema_a}.${table_a1}、${catalog_a}.${schema_a}.${table_b1}

5、项目1的Meta数据源登录用户：root,在项目1下创建历史数据:使用${table_a1}创建原子指标${yz1},使用${table_b1}创建原子指标${yz2}

6、项目1的Meta数据源授权user1:
${catolog_a}.${schema_a}.${table_a1}查看权限，
无其他数据库、表查看权限","1. 切换项目1的Meta数据源用户为：user1
2. 进入指标中心-指标开发-指标定义页面，点击新增指标，选择派生指标
3. 原子指标选择${yz2},输入必填信息后点击下一步，再次输入必填信息后点下一步
4. 切换原子指标选择${yz1}，正确输入必填信息，点击下一步
5. 正确输入必填信息，点击下一步，点击下一步，点击保存并发布","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入新增派生指标页面
3. 试计算不通过，报错
4. 进入设置基本信息页面
5. 指标发布成功，系统给出成功反馈，相关页面/数据状态更新为最新","2","功能测试"
"173984","验证新增原子指标受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下有${catalog_a}.${schema_a}.${table_a1}、${catalog_a}.${schema_a}.${table_b1}

5、项目1的Meta数据源登录用户：root,在项目1下创建历史数据:使用${table_a1}创建数据模型${model1},使用${table_b1}创建数据模型${model2}

6、项目1的Meta数据源授权user1:
${catolog_a}.${schema_a}.${table_a1}查看权限，
无其他数据库、表查看权限","1. 切换项目1的Meta数据源用户为：user1
2. 进入指标中心-指标开发-指标定义页面，点击新增指标，选择原子指标
3. 选中模型${model2},输入计算逻辑，点击规范校验
4. 选中模型${model1},正确输入必填信息，点击下一步
5. 正确输入必填信息，点击下一步，点击保存并发布","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入新增原子指标页面
3. 校验不通过
4. 进入设置基本信息页面
5. 原子指标发布成功，系统给出成功反馈，相关页面/数据状态更新为最新","2","功能测试"
"173983","验证编辑数据模型受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下存在${catalog_a}.${schema_a}.${table_a1}、${catolog_a}.${schema_a}.${table_b}

5、项目1的Meta数据源登录用户：root,使用${table_a1}在项目1下创建历史数据：数据模型${model1}

6、项目1的Meta数据源仅授权user2:
${catolog_a}.${schema_a}.${table_b}查看权限","1. 切换项目1的Meta数据源用户为：user2
2. 进入指标中心-数据管理-数据模型页面，选中${model1},点击编辑
3. 点击下一步","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入编辑模型页面
3. 进入表关联页面，报错","2","功能测试"
"173982","验证新增数据模型-主表来源为逻辑表 受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下存在${catalog_a}.${schema_a}.${table_a1}、${catalog_b}.${schema_b}.${table_b1}，${table_a1}、${table_b1}的维度列有${column1,column2,column3,column4}

5、项目1的Meta数据源授权user1:
${catolog_a}.${schema_a}.${table_a1}查看权限，
无其他数据库、表查看权限","1. 切换项目1的Meta数据源用户为：user1
2. 进入指标中心-数据管理-数据模型页面，点击新增模型
3. 输入必填信息，点击下一步
4. 输入自定义SQL${SELECT column1,column2 FROM table_b1}，点击规范校验
5. 输入自定义SQL${SELECT column1,column2 FROM table_a1}，点击规范校验
6. 点击新增关联表
7. 点击选择schema，查看下拉列表
8. 选择${schema_a}后，点击选择维表，查看下拉列表","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入新增模型页面
3. 进入表关联页面，主表来源选择逻辑表
4. 校验失败
5. 校验通过
6. 弹出添加关联表弹窗
7. 只展示${schema_a}
8. 只展示${table_a1}","2","功能测试"
"173981","验证编辑维度属性受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1

4、项目1的meta数据源下存在${catalog_a}.${schema_a}.${table_a1}、${catalog_a}.${schema_a}.${table_b}

5、项目1的Meta数据源登录用户：root,使用${catolog_a}.${schema_a}.${table_a1},在项目1下创建历史数据：维度对象${boject}以及对应维度属性

6、项目1的Meta数据源仅授权user2:
${catolog_a}.${schema_a}.${table_b}查看权限","1. 切换项目1的Meta数据源用户为：user2
2. 进入指标中心-数据管理-维度管理页面，点击维度对象${object}
3. 选中某一维度属性点击编辑","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入维度属性列表页
3. 进入编辑页面，报错","2","功能测试"
"173979","验证新增维度属性-手动新增 受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1,项目1的meta数据源登录用户root，进入项目1，创建维度对象${object}

4、项目1的meta数据源下存在${catalog_a}.${schema_a}.${table_a1}、${catalog_a}.${schema_a}.${table_a2}、${catalog_b}.${schema_b}.${table_b1}、${catalog_b}.${schema_b}.${table_b2}，${table_a1}、${table_b1}的维度列有${column1,column2,column3,column4}

5、项目1的Meta数据源仅授权user1:
${catolog_a}.${schema_a}.${table_a1}查看权限，
无其他数据库、表查看权限","1. 切换项目1的Meta数据源用户为：user1
2. 进入指标中心-数据管理-维度管理页面，点击维度对象${object}
3. 点击新增维度属性
4. 点击新增物理表，点击选择catalog，查看下拉列表
5. 选择${catalog_a}后，点击选择schema，查看下拉列表
6. 选择${schema_a}后，点击选择维表，查看下拉列表
7. 选择${table_a1}，字段选择${column1}
8. 点击新增逻辑表，输入逻辑SQL${SELECT column2 FROM table_b1}，点击规范校验
9. 输入逻辑SQL${SELECT column2 FROM table_a1},点击规范校验
10. 输入其他必填信息后点击保存","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 进入维度属性列表页
3. 进入新增维度属性页面，默认选中手动新增
4. 只展示${catalog_a}
5. 只展示${schema_a}、mysql(默认所有用户可见)
6. 只展示${table_a1}
7. 物理表添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 校验失败
9. 校验通过
10. 新增维度属性成功，返回维度属性列表页，页面统计数+1","2","功能测试"
"173978","验证指标市场数据查询受到meta数据源库表查看权限管控","指标开发-数据模型","数据源改为对接Meta","1、指标配置文件中：datasource.type=doris

2、控制台配置 doris SQL 计算组件，版本选择3.x，测试连通性通过

3、以【超级管理员admin】账号操作，进入指标平台，创建项目1，项目1的meta数据源下存在${catalog_a}.${schema_a}.${table_a1}、${catalog_a}.${schema_a}.${table_b}

4、项目1的Meta数据源登录用户：root,进入项目1，下创建历史数据:使用${table_a1}创建派生指标${A1}

5、项目1的Meta数据源仅授权user2：
${catolog_a}.${schema_a}.${table_b}查看权限","1. 切换项目1的Meta数据源用户为：user2
2. 进入指标市场-项目市场，选中派生指标${A1}，点击结果查询
3. 点击查询
4. 关闭查询弹窗，进入指标${A1}详情-血缘关系页面，点击派生指标${A1}，在右侧滑窗内点击查询","1. 成功切换至目标页签/状态，页面内容随之刷新显示
2. 弹出结果查询弹窗
3. 报错
4. 报错","2","功能测试"
