"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"161988","验证即席自定义指标添加上游","指标开发-数据模型","自定义指标支持添加血缘","1、存在Yz_01
2、存在即席派生指标：JX_Ps_01（由Yz_01创建）
3、存在即席自定义指标：JX_Zdy_01、JX_Zdy_02
4、用 JX_Zdy_01 + JX_Ps_01 创建即席复合指标：JX_Fh_01
5、用 JX_Zdy_01+JX_Zdy_02 创建即席复合指标：JX_Fh_02","1. 指标中心-指标开发-指标定义，编辑JX_Zdy_01，点击下一步，再点击下一步
2. 选择上游依赖指标，选中Yz_01、JX_Ps_01、JX_Fh_01、JX_Fh_02、JX_Zdy_02指标，点击下一步
3. 取消选中JX_Fh_01、JX_Fh_02指标，选中Yz_01、JX_Ps_01、JX_Zdy_02，点击下一步
4. 点击下一步，点击保存并发布
5. 指标市场，查看 Yz_01、JX_Ps_01指标 详情
6. 指标市场，查看 JX_Fh_01指标 详情
7. 指标市场，查看 JX_Fh_02指标 详情
8. 指标市场，查看 JX_Zdy_01指标 详情
9. 指标市场，查看 JX_Zdy_02指标 详情
10. 指标定义列表页，查看 Yz_01指标 详情
11. 指标定义列表页，查看 JX_Ps_01指标 详情
12. 指标定义列表页，查看 JX_Fh_01指标 详情
13. 指标定义列表页，查看 JX_Fh_02指标 详情
14. 指标定义列表页，查看 JX_Zdy_01指标 详情
15. 指标定义列表页，查看 JX_Zdy_02指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步异常提示文案：
$JX_Fh_01$、$JX_Fh_02$在已有血缘中已存在，不可添加至当前血缘
3. 下一步成功，进入设置调度信息页面
4. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 血缘关系展示：
Yz_01->JX_Ps_01、JX_Zdy_01->JX_Fh_01；
Yz_01->JX_Zdy_01->JX_Fh_02；
6. 血缘关系展示：
Yz_01->JX_Ps_01、JX_Zdy_01->JX_Fh_01；
7. 血缘关系展示：
Yz_01->JX_Ps_01、JX_Zdy_01->JX_Fh_02；
JX_Zdy_01、JX_Zdy_02->JX_Fh_02；
8. 血缘关系展示：
Yz_01->JX_Ps_01、JX_Zdy_01->JX_Fh_01、JX_Fh_02；
JX_Zdy_01、JX_Zdy_02->JX_Fh_02；
9. 血缘关系展示：
JX_Zdy_02、JX_Zdy_01->JX_Fh_01、JX_Fh_02；
10. 应用信息-指标引用展示：JX_Ps_01、JX_Zdy_01
11. 应用信息-指标引用展示：JX_Fh_01、JX_Zdy_01
12. 应用信息-指标引用展示空
13. 应用信息-指标引用展示空
14. 应用信息-指标引用展示：JX_Fh_02、JX_Fh_01
15. 应用信息-指标引用展示：JX_Fh_02、JX_Zdy_01","1","功能测试"
"161987","验证落表自定义指标添加上游","指标开发-数据模型","自定义指标支持添加血缘","1、存在Yz_01
2、存在即席派生指标：LB_Ps_01（由Yz_01创建）
3、存在即席自定义指标：LB_Zdy_01、LB_Zdy_02
4、用 LB_Zdy_01 + LB_Ps_01 创建即席复合指标：LB_Fh_01
5、用 LB_Zdy_01+LB_Zdy_02 创建即席复合指标：LB_Fh_02","1. 指标中心-指标开发-指标定义，编辑LB_Zdy_01，点击下一步，再点击下一步
2. 选择上游依赖指标，选中Yz_01、LB_Ps_01、LB_Fh_01、LB_Fh_02、LB_Zdy_02指标，点击下一步
3. 取消选中LB_Fh_01、LB_Fh_02指标，选中Yz_01、LB_Ps_01、LB_Zdy_02，点击下一步
4. 点击下一步，点击保存并发布
5. 指标市场，查看 Yz_01、LB_Ps_01指标 详情
6. 指标市场，查看 LB_Fh_01指标 详情
7. 指标市场，查看 LB_Fh_02指标 详情
8. 指标市场，查看 LB_Zdy_01指标 详情
9. 指标市场，查看 LB_Zdy_02指标 详情
10. 指标定义列表页，查看 Yz_01指标 详情
11. 指标定义列表页，查看 LB_Ps_01指标 详情
12. 指标定义列表页，查看 LB_Fh_01指标 详情
13. 指标定义列表页，查看 LB_Fh_02指标 详情
14. 指标定义列表页，查看 LB_Zdy_01指标 详情
15. 指标定义列表页，查看 LB_Zdy_02指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步异常提示文案：
$LB_Fh_01$、$LB_Fh_02$在已有血缘中已存在，不可添加至当前血缘
3. 下一步成功，进入设置调度信息页面，依赖属性展示LB_Ps_01、LB_Zdy_02任务信息
4. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 血缘关系展示：
Yz_01->LB_Ps_01、LB_Zdy_01->LB_Fh_01；
Yz_01->LB_Zdy_01->LB_Fh_02；
6. 血缘关系展示：
Yz_01->LB_Ps_01、LB_Zdy_01->LB_Fh_01；
7. 血缘关系展示：
Yz_01->LB_Ps_01、LB_Zdy_01->LB_Fh_02；
LB_Zdy_01、LB_Zdy_02->LB_Fh_02；
8. 血缘关系展示：
Yz_01->LB_Ps_01、LB_Zdy_01->LB_Fh_01、LB_Fh_02；
LB_Zdy_01、LB_Zdy_02->LB_Fh_02；
9. 血缘关系展示：
JX_Zdy_02、JX_Zdy_01->JX_Fh_01、JX_Fh_02；
10. 应用信息-指标引用展示：LB_Ps_01、LB_Zdy_01
11. 应用信息-指标引用展示：LB_Fh_01、LB_Zdy_01
12. 应用信息-指标引用展示空
13. 应用信息-指标引用展示空
14. 应用信息-指标引用展示：LB_Fh_02、LB_Fh_01
15. 应用信息-指标引用展示：LB_Fh_02、LB_Zdy_01","1","功能测试"
"161986","验证即席自定义指标添加上游后-编辑上游","指标开发-数据模型","自定义指标支持添加血缘","1、存在Yz_01
2、存在即席派生指标：JX_Ps_01（由Yz_01创建）
3、存在即席自定义指标：JX_Zdy_01、JX_Zdy_02
4、用 JX_Zdy_01 + JX_Ps_01 创建即席复合指标：JX_Fh_01
5、用 JX_Zdy_01+JX_Zdy_02 创建即席复合指标：JX_Fh_02
6、配置 JX_Zdy_01上游指标为Yz_01、JX_Ps_01、JX_Zdy_02","1. 指标中心-指标开发-指标定义，编辑JX_Zdy_01，点击下一步，再点击下一步
2. 取消选中JX_Ps_01、JX_Zdy_02指标，选中Yz_01，点击下一步
3. 点击下一步，点击保存并发布
4. 指标市场，查看 Yz_01指标 详情
5. 指标市场，查看 JX_Ps_01指标 详情
6. 指标市场，查看 JX_Fh_01指标 详情
7. 指标市场，查看 JX_Fh_02指标 详情
8. 指标市场，查看 JX_Zdy_01指标 详情
9. 指标市场，查看 JX_Zdy_02指标 详情
10. 指标定义列表页，查看 Yz_01指标 详情
11. 指标定义列表页，查看 JX_Ps_01指标 详情
12. 指标定义列表页，查看 JX_Fh_01指标 详情
13. 指标定义列表页，查看 JX_Fh_02指标 详情
14. 指标定义列表页，查看 JX_Zdy_01指标 详情
15. 指标定义列表页，查看 JX_Zdy_02指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步成功，进入设置调度信息页面
3. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 血缘关系展示：
Yz_01->JX_Ps_01、JX_Zdy_01->JX_Fh_01；
Yz_01->JX_Zdy_01->JX_Fh_02；
5. 血缘关系展示：
Yz_01->JX_Ps_01->JX_Fh_01；
6. 血缘关系展示：
Yz_01->JX_Ps_01、JX_Zdy_01->JX_Fh_01；
7. 血缘关系展示：
Yz_01->JX_Zdy_01->JX_Fh_02；
JX_Zdy_02->JX_Fh_02；
8. 血缘关系展示：
Yz_01->JX_Zdy_01->JX_Fh_01、JX_Fh_02；
JX_Zdy_01->JX_Fh_02；
9. 血缘关系展示：
JX_Zdy_02->JX_Fh_02；
10. 应用信息-指标引用展示：JX_Ps_01、JX_Zdy_01
11. 应用信息-指标引用展示：JX_Fh_01
12. 应用信息-指标引用展示空
13. 应用信息-指标引用展示空
14. 应用信息-指标引用展示：JX_Fh_02
15. 应用信息-指标引用展示：JX_Fh_02","1","功能测试"
"161985","验证落表自定义指标添加上游后-编辑上游","指标开发-数据模型","自定义指标支持添加血缘","1、存在Yz_01
2、存在即席派生指标：JX_Ps_01（由Yz_01创建）
3、存在即席自定义指标：JX_Zdy_01、JX_Zdy_02
4、用 JX_Zdy_01 + JX_Ps_01 创建即席复合指标：JX_Fh_01
5、用 JX_Zdy_01+JX_Zdy_02 创建即席复合指标：JX_Fh_02
6、配置 JX_Zdy_01上游指标为Yz_01、JX_Ps_01、JX_Zdy_02","1. 指标中心-指标开发-指标定义，编辑LB_Zdy_01，点击下一步，再点击下一步
2. 取消选中JX_Ps_01、JX_Zdy_02指标，选中Yz_01，点击下一步
3. 点击下一步，点击保存并发布
4. 指标市场，查看 Yz_01指标 详情
5. 指标市场，查看 LB_Ps_01指标 详情
6. 指标市场，查看 LB_Fh_01指标 详情
7. 指标市场，查看 LB_Fh_02指标 详情
8. 指标市场，查看 LB_Zdy_01指标 详情
9. 指标市场，查看 LB_Zdy_02指标 详情
10. 指标定义列表页，查看 Yz_01指标 详情
11. 指标定义列表页，查看 LB_Ps_01指标 详情
12. 指标定义列表页，查看 LB_Fh_01指标 详情
13. 指标定义列表页，查看 LB_Fh_02指标 详情
14. 指标定义列表页，查看 LB_Zdy_01指标 详情
15. 指标定义列表页，查看 LB_Zdy_02指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步成功，进入设置调度信息页面，依赖属性展示为空
3. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 血缘关系展示：
Yz_01->LB_Ps_01、LB_Zdy_01->LB_Fh_01；
Yz_01->LB_Zdy_01->LB_Fh_02；
5. 血缘关系展示：
Yz_01->JX_Ps_01->JX_Fh_01；
6. 血缘关系展示：
Yz_01->LB_Ps_01、LB_Zdy_01->LB_Fh_01；
7. 血缘关系展示：
Yz_01->LB_Zdy_01->LB_Fh_02；
LB_Zdy_02->LB_Fh_02；
8. 血缘关系展示：
Yz_01->LB_Zdy_01->LB_Fh_01、LB_Fh_02；
LB_Zdy_01->LB_Fh_02；
9. 血缘关系展示：
LB_Zdy_02->LB_Fh_02；
10. 应用信息-指标引用展示：LB_Ps_01、LB_Zdy_01
11. 应用信息-指标引用展示：LB_Fh_01
12. 应用信息-指标引用展示空
13. 应用信息-指标引用展示空
14. 应用信息-指标引用展示：LB_Fh_02、LB_Fh_01
15. 应用信息-指标引用展示：LB_Fh_02","1","功能测试"
"161984","验证即席自定义指标添加上游-独立指标被引用","指标开发-数据模型","自定义指标支持添加血缘","1、存在即席自定义指标：JX_Zdy_01
2、存在原子指标：Yz_01
3、用 Yz_01 创建即席派生指标：JX_Ps_01
4、用 JX_Ps_01 创建即席复合指标：JX_Fh_01","1. 指标中心-指标开发-指标定义，编辑JX_Zdy_01，点击下一步，再点击下一步
2. 选择上游依赖指标，选中JX_Fh_01指标，点击下一步
3. 点击下一步，点击保存并发布
4. 指标市场，查看 Yz_01、JX_Ps_01、JX_Fh_01、 JX_Zdy_01指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步成功，进入设置调度信息页面
3. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 血缘关系展示：
Yz_01->JX_Ps_01->JX_Fh_01->JX_Zdy_01；","2","功能测试"
"161983","验证即席自定义指标添加上游-跨自定义指标的复合被引用","指标开发-数据模型","自定义指标支持添加血缘","1、存在即席自定义指标：JX_Zdy_01
2、存在即席自定义指标：JX_Zdy_02
3、用 JX_Zdy_02 创建即席复合指标：JX_Fh_01
4、用 JX_Fh_01 创建即席复合指标：JX_Fh_02","1. 指标中心-指标开发-指标定义，编辑JX_Zdy_01，点击下一步，再点击下一步
2. 选择上游依赖指标，选中JX_Fh_01, JX_Fh_02指标，点击下一步
3. 点击下一步，点击保存并发布
4. 指标市场，查看 JX_Zdy_01、JX_Zdy_02指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步成功，进入设置调度信息页面
3. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 血缘关系展示：
JX_Zdy_02 → JX_Fh_01、 JX_Fh_02 → JX_Zdy_01；","2","功能测试"
"161982","验证落表自定义指标添加上游-独立指标被引用","指标开发-数据模型","自定义指标支持添加血缘","1、存在落表自定义指标：LB_Zdy_01
2、存在原子指标：Yz_01
3、用 Yz_01 创建落表派生指标：LB_Ps_01
4、用 LB_Ps_01 创建落表复合指标：LB_Fh_01","1. 指标中心-指标开发-指标定义，编辑LB_Zdy_01，点击下一步，再点击下一步
2. 选择上游依赖指标，选中LB_Fh_01指标，点击下一步
3. 点击下一步，点击保存并发布
4. 指标市场，查看 Yz_01、LB_Ps_01、LB_Fh_01、 LB_Zdy_01指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步成功，进入设置调度信息页面，依赖属性展示LB_Fh_01任务信息
3. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 血缘关系展示：
Yz_01->LB_Ps_01->LB_Fh_01->LB_Zdy_01；","2","功能测试"
"161981","验证落表自定义指标添加上游-跨自定义指标的复合被引用","指标开发-数据模型","自定义指标支持添加血缘","1、存在落表自定义指标：LB_Zdy_01
2、存在落表自定义指标：LB_Zdy_02
3、用 LB_Zdy_02 创建落表复合指标：LB_Fh_01
4、用 LB_Fh_01 创建落表复合指标：LB_Fh_02","1. 指标中心-指标开发-指标定义，编辑LB_Zdy_01，点击下一步，再点击下一步
2. 选择上游依赖指标，选中LB_Fh_01, LB_Fh_02指标，点击下一步
3. 点击下一步，点击保存并发布
4. 指标市场，查看 LB_Zdy_01、LB_Zdy_02指标 详情","1. 进入自定义指标 设置指标信息 编辑页面
2. 下一步成功，进入设置调度信息页面，，依赖属性展示LB_Fh_01、LB_Fh_02任务信息
3. 保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 血缘关系展示：
LB_Zdy_02 → LB_Fh_01、 LB_Fh_02 → LB_Zdy_01；","2","功能测试"
"161980","验证即席自定义指标添加上游-成环","指标开发-数据模型","自定义指标支持添加血缘","无","1. 存在即席自定义指标：JX_Zdy_01；用 JX_Zdy_01 创建即席复合指标：JX_Fh_01；用 JX_Fh_01 创建即席复合指标：JX_Fh_02；编辑 JX_Zdy_01 添加上游依赖指标：JX_Fh_02
2. 存在即席自定义指标：JX_Zdy_01；用 JX_Zdy_01 创建即席复合指标：JX_Fh_01；用 JX_Fh_01 创建即席复合指标：JX_Fh_02；用 JX_Fh_02 创建复合指标：JX_Fh_03；编辑 JX_Zdy_01 添加上游依赖指标：JX_Fh_03
3. 存在即席自定义指标：JX_Zdy_01；用 JX_Zdy_01 创建即席复合指标：JX_Fh_01；用 JX_Zdy_01 创建即席复合指标：JX_fh_02；用 JX_Fh_01 + JX_Fh_02 创建复合指标：JX_Fh_03；编辑 JX_Zdy_01 添加上游依赖指标：JX_Fh_03
4. 存在即席自定义指标：JX_Zdy_01、JX_Zdy_02；用 JX_Zdy_01 创建即席复合指标：JX_Fh_01；用 JX_Zdy_02 创建即席复合指标：JX_fh_02；用 JX_Fh_01 + JX_Fh_02 创建复合指标：JX_Fh_03；编辑 JX_Zdy_01 添加上游依赖指标：JX_Fh_03
5. 存在即席自定义指标：JX_Zdy_01、JX_Zdy_02；用 JX_Zdy_01 创建即席复合指标：JX_Fh_01；用 JX_Fh_01 + JX_Zdy_02 创建复合指标：JX_Fh_02，编辑 JX_Zdy_01 添加上游依赖指标：JX_Fh_02","1. 血缘成环，添加异常
2. 血缘成环，添加异常
3. 血缘成环，添加异常
4. 血缘成环，添加异常
5. 血缘成环，添加异常","1","功能测试"
"161979","验证落表自定义指标添加上游-成环","指标开发-数据模型","自定义指标支持添加血缘","无","1. 存在落表自定义指标：LB_Zdy_01；用 LB_Zdy_01 创建落表复合指标：LB_Fh_01；用 LB_Fh_01 创建落表复合指标：LB_Fh_02；编辑 LB_Zdy_01 添加上游依赖指标：LB_Fh_02
2. 存在落表自定义指标：LB_Zdy_01；用 LB_Zdy_01 创建落表复合指标：LB_Fh_01；用 LB_Fh_01 创建落表复合指标：LB_Fh_02；用 LB_Fh_02 创建复合指标：LB_Fh_03；编辑 LB_Zdy_01 添加上游依赖指标：LB_Fh_03
3. 存在落表自定义指标：LB_Zdy_01；用 LB_Zdy_01 创建落表复合指标：LB_Fh_01；用 LB_Zdy_01 创建落表复合指标：LB_fh_02；用 LB_Fh_01 + LB_Fh_02 创建复合指标：LB_Fh_03；编辑 LB_Zdy_01 添加上游依赖指标：LB_Fh_03
4. 存在落表自定义指标：LB_Zdy_01、LB_Zdy_02；用 LB_Zdy_01 创建落表复合指标：LB_Fh_01；用 LB_Zdy_02 创建落表复合指标：LB_fh_02；用 LB_Fh_01 + LB_Fh_02 创建复合指标：LB_Fh_03；编辑 LB_Zdy_01 添加上游依赖指标：LB_Fh_03
5. 存在落表自定义指标：LB_Zdy_01、LB_Zdy_02；用 LB_Zdy_01 创建落表复合指标：LB_Fh_01；用 LB_Fh_01 + LB_Zdy_02 创建复合指标：LB_Fh_02，编辑 LB_Zdy_01 添加上游依赖指标：LB_Fh_02","1. 血缘成环，添加异常
2. 血缘成环，添加异常
3. 血缘成环，添加异常
4. 血缘成环，添加异常
5. 血缘成环，添加异常","2","功能测试"
