"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"168758","验证历史维度属性-维度类型","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目内存在历史维度对象：「教师」，维度属性：「教师ID」、「教师姓名」、「更新时间」","1. 进入指标中心-数据管理-维度管理页面
2. 选择维度对象【教师】，点击名称
3. 选择【教师ID】维度属性，点击编辑按钮
4. 查看维度类型
5. 切换到时间维度，点击保存
6. 维度属性列表页面查看【教师ID】维度类型","1. 页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入维度对象/教师 维度属性列表页面，增加维度类型展示，默认都展示业务维度
3. 进入编辑维度属性页面
4. 设置为【业务维度】
5. 编辑维度属性成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 展示时间维度","2","功能测试"
"168757","验证基于手动新增当时新增维度属性-增加「维度类型」字段","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目内已创建维度对象：「教师」","1. 进入指标中心-数据管理-维度管理页面
2. 选择【教师】维度对象，点击新增维度属性
3. 新增方式：手动新增，输入维度属性名称，维度属性标识，维度类型切换到时间维度，点击保存","1. 页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入新增维度属性页面，增加【维度类型】选择
单选，必选，默认填充业务维度
枚举值：业务维度、时间维度
3. 新增维度属性成功，返回到维度属性列表页面，该维度属性-维度类型展示时间维度","2","功能测试"
"168756","验证基于表新增方式新增维度属性-增加「维度类型」字段","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目内已创建维度对象：「教师」","1. 进入指标中心-数据管理-维度管理页面
2. 选择【教师】维度对象，点击新增维度属性
3. 新增方式选择：基于表新增
4. 选择catalog：${catalog}、schema：${schema}、维表：${table}
5. 勾选字段：${column1}，输入属性名称、属性标识，维度类型选择：时间维度；勾选字段：${column2}，输入属性名称、属性标识，维度类型选择：时间维度，勾选字段：${column3}，输入属性名称、属性标识，维度类型选择：业务维度，点击保存","1. 页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入新增维度属性页面
3. 维度属性设置【属性标识】 后增加【维度类型】字段，必填项
4. 表字段对应的维度类型默认填充业务维度，枚举值：业务维度、时间维度
5. 新增维度属性成功，维度属性列表页面 维度属性对应的维度类型信息展示正确","2","功能测试"
"168755","验证编辑维度属性-切换维度类型功能","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目内存在维度对象：「教师」，
维度属性：
「教师ID」-维度属性：业务维度、
「教师姓名」维度属性：业务维度、
「更新时间」-维度属性：时间维度","1. 进入指标中心-数据管理-维度管理页面
2. 选择【教师】维度对象-【教师ID】维度属性，点击编辑按钮
3. 修改维度类型：时间维度，点击保存
4. 选择【更新时间】维度属性，点击编辑按钮
5. 修改维度类型：业务维度，点击保存","1. 页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入编辑维度属性页面
3. 保存成功，【教师ID】维度类型展示时间维度
4. 进入编辑维度属性页面
5. 保存成功，【更新时间】维度类型展示业务维度","2","功能测试"
"168754","验证数据模型支持定义时间格式","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目内存在维度对象：「教师」，
维度属性：
「教师ID」-维度属性：业务维度、
「教师姓名」维度属性：业务维度、
「更新时间」-维度属性：时间维度","1. 进入指标中心-数据管理-数据模型-新增模型页面
2. 输入模型名称：${Model_name}、模型编码：${Model_code}，点击下一步
3. 选择catalog：${catalog}、schema：${schema}、选择表：${table}，更新方式：非分区表，点击下一步
4. 字段：${column1}未被选中，关联维度对象选择：【教师】，关联维度属性选择：【更新时间】
5. 字段：${column2}被选中，关联维度对象选择：【教师】，关联维度属性选择：【更新时间】
6. 字段：${column2}时间格式选择：yyyyMMdd字段：${column3}被选中，关联维度对象选择：【教师】，关联维度属性选择：【教师ID】
7. 点击下一步
8. 选择字段，点击下一步
9. 选择存储为物理表，配置必填项信息，点击保存并发布
10. 点击模型名称，查看详情-维度信息
11. 切换到版本变更TAB，查看发布版本详情","1. 新增页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入表关联步骤
3. 进入选择维度页面
4. 不展示【时间格式】字段
5. 展示【时间格式】字段，
单选，必选，默认填充yyyy-MM-dd
枚举值：yyyyMMdd、yyyy-MM-dd
6. 不展示【时间格式】字段
7. 进入选择度量页面
8. 跳转到设置页面
9. 模型发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. 增加时间格式展示，展示：yyyyMMdd
11. 关联时间维度属性的字段信息增加时间格式展示，展示：yyyyMMdd","2","功能测试"
"168753","验证编辑数据模型-支持定义时间格式","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目下已创建数据模型：${model_name}，维度列：
${column1}，关联维度对象：「教师」，关联维度属性：「教师ID」-维度类型（业务维度）、
${column2}，关联维度对象：「教师」，关联维度属性：「教师姓名」维度类型：业务维度、
${column3}，关联维度对象：「教师」，关联维度属性：「更新时间」-维度类型：时间维度（时间格式：yyyyMMdd）","1. 进入指标中心-数据管理-数据模型页面，选择数据模型：${model_name}，点击编辑按钮
2. 点击下一步
3. 点击下一步
4. 查看页面配置信息
5. 修改时间格式为yyyy-MM-dd，点击下一步
6. 点击下一步
7. 点击保存并发布
8. 点击模型名称，查看详情-维度信息
9. 切换到版本变更TAB，查看最新发布版本详情","1. 进入编辑数据模型页面
2. 进入表关联步骤
3. 进入选择维度步骤
4. 页面信息回显正确：${column3}，关联维度对象：【教师】，关联维度属性：【更新时间】，时间格式展示yyyyMMdd
5. 跳转到选择度量页面
6. 跳转到设置页面
7. 编辑模型发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 时间格式展示：yyyy-MM-dd
9. ${column3}字段关联的维度属性时间格式展示：yyyy-MM-dd","2","功能测试"
"168752","验证编辑数据模型-支持定义时间格式","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目下已创建数据模型：${model_name}，维度列：
${column1}，关联维度对象：「教师」，关联维度属性：「教师ID」-维度类型（业务维度）、
${column2}，关联维度对象：「教师」，关联维度属性：「教师姓名」维度类型：业务维度、
${column3}，关联维度对象：「教师」，关联维度属性：「更新时间」-维度类型：时间维度（时间格式：yyyyMMdd）","1. 进入指标中心-数据管理-数据模型页面，选择数据模型：${model_name}，点击编辑按钮
2. 点击下一步
3. 点击下一步
4. 查看页面配置信息
5. 取消勾选：${column3}
6. ${column2}，切换关联维度属性：【更新时间】
7. 点击下一步
8. 点击下一步
9. 点击保存并发布
10. 点击模型名称，查看详情-维度信息
11. 切换到版本变更TAB，查看最新发布版本详情","1. 进入编辑数据模型页面
2. 进入表关联步骤
3. 进入选择维度步骤
4. 页面信息回显正确：${column3}，关联维度对象：【教师】，关联维度属性：【更新时间】，时间格式展示yyyyMMdd
5. 不展示时间格式字段
6. 展示时间格式字段
7. 跳转到选择度量页面
8. 跳转到设置页面
9. 编辑模型发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. ${column2}字段关联的维度属性时间格式展示：yyyy-MM-dd
11. ${column2}字段关联的维度属性时间格式展示：yyyy-MM-dd","2","功能测试"
"168751","验证原子指标-设置技术信息页面UI交互","指标开发-原子指标查询","原子指标支持结果查询","无","1. 进入新增原子指标页面，查看设置技术信息步骤信息
2. 查看时间维度hover提示
3. 查看时间维度的选项范围
4. 查看过滤条件","1. 增加时间维度、过滤条件字段
2. hover提示文案：基于该指标进行结果查询时，将基于此处选择的维度做查询日期范围筛选
3. 单选，非必填，默认填充数据模型选择的时间维度（多个的取排序第一个填充），可清空
选项范围：数据模型选择的时间维度，选项展示格式：$维度对象名称$/$维度属性名称$(字段名称)
4. 非必填，基于选择的模型设置过滤条件","2","功能测试"
"168750","验证历史原子指标功能","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目下已创建历史原子指标：${history_yz_01}，该原子指标引用的数据模型-维度列未关联有时间维度-维度列的维度属性","1. 进入指标中心-指标开发-指标定义列表页面，选择：{history_yz_01}指标，点击指标名称，查看详情
2. 关闭详情滑窗，点击操作栏编辑按钮
3. 查看时间维度值域
4. 添加过滤条件：${table}.${column1} 等于 xxx 且 t0.${column2} is not null，点击下一步
5. 点击下一步
6. 点击保存并发布
7. 指标定义列表页面，点击指标名称，查看基本属性信息
8. 切换到版本变更Tab，选择最新发布版本与升级前历史版本，进行版本对比
9. 进入指标市场-项目市场，选择该原子指标
10. 指标市场页面，点击指标名称，查看基本属性信息
11. 切换到版本变更Tab，选择最新发布版本与升级前历史版本，进行版本对比","1. 基本属性信息展示：维度支持（时间）（空）、维度支持（其他）（值域展示模型中的所有维度列）、过滤条件：空
2. 进入编辑原子指标页面，时间维度和过滤条件默认为空
3. 值域为空
4. 跳转到设置基本信息步骤
5. 跳转到完成步骤
6. 历史自定义指标编辑发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 维度支持分为：维度支持（时间）（空）、维度支持（其他）（值域展示模型中的所有维度列），过滤条件展示正确，SQL语句中拼接过滤条件
8. 技术信息中增加维度支持（时间）（空）、维度支持（其他）（值域展示模型中的所有维度列）、过滤条件展示，信息展示正确
9. 不支持结果查询
10. 维度支持分为：维度支持（时间）：空、维度支持（其他）（值域展示模型中的所有维度列），过滤条件展示正确，SQL语句中拼接过滤条件
11. 技术信息中增加维度支持（时间）（空）、维度支持（其他）（值域展示模型中的所有维度列）、过滤条件展示，信息展示正确","2","功能测试"
"168749","验证指标应用支持选择原子指标进行结果查询","指标开发-原子指标查询","原子指标支持结果查询","1、当前项目下已创建原子指标：${YZ_01}，时间维度：教师/更新时间(update_time)，添加有过滤条件：${table}.${column1} 等于 xxx  且 t0.${column2} is not null
维度支持（其他）：教师/教师ID、教师/教师姓名、教师/教师性别","1. 进入指标应用-自助取数-数据查询页面，查看选择指标 ？文案
2. 选择原子指标：${YZ_01}
3. 选择查询日期、选择维度：教师/教师ID，添加筛选条件，点击查询
4. 点击保存取数模板，输入模板名称、模板编码，点击确定
5. 进入取数模板页面，选择该模板，点击取数
6. 点击查询","1. 文案：可基于已发布的指标进行数据查询
2. 支持汇总
3. 查询结果正确，查询结果下载正确，内容与预期完全一致，无异常或错误
4. 取数模板保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
5. 页面跳转到数据查询页面，查询条件、选择维度、筛选条件信息回显正确
6. 查询结果正确，内容与预期完全一致，无异常或错误","2","功能测试"
