"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"162123","验证银联云闪付- OSM 第一批支持数据源","指标开发-事件管理","事件管理：支持事件的增删改查","银联云客户环境集群是cdh6.2--krb","1. trino引擎/Doris引擎下验证
2. 新功能仅支持starrocks引擎（3.x版本）","1. 隐藏新功能
2. 正常展示","1","功能测试"
"162122","验证左侧增加 事件管理 模块","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 登录指标平台，进入具体项目下，切换到数据管理 菜单，点击事件管理，查看左侧模块列表","1. 正确展示事件管理列表","3","功能测试"
"162121","验证按钮权限","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 【指标中心】-【事件管理】-【事件分类】-【新增】若有权限
3. 【指标中心】-【事件管理】-【事件分类】-【编辑】若有权限
4. 【指标中心】-【事件管理】-【事件分类】-【删除】若有权限
5. 【指标中心】-【事件管理】-【编辑事件】若有权限
6. 【指标中心】-【事件管理】-【删除事件】若有权限
7. 【指标中心】-【事件管理】-【新增事件】若有权限","1. 进入事件管理列表
2. 按钮可见，点击可操作；反之不可见不操作
3. 按钮可见，点击可操作；反之不可见不操作
4. 按钮可见，点击可操作；反之不可见不操作
5. 按钮可见，点击可操作；反之不可见不操作
6. 按钮可见，点击可操作；反之不可见不操作
7. 按钮可见，点击可操作；反之不可见不操作","1","功能测试"
"162120","验证点击新增事件分类","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 点击新增
3. 支持输入，未填写不保存，填写自动保存
4. 空格
5. 长度限制64字符
6. 输入已存在的名称","1. 进入事件管理列表
2. 下方列表顶部出现新增输入行
3. 输入成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 提示：不能为空
5. 超长输入，报错文案：限制输入64字符
6. 不可重复，文案提示：名称重复","1","功能测试"
"162119","验证点击单个事件分类目录筛选","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击单个事件分类目录筛选事件列表","1. 筛选结果正确，内容与预期完全一致，无异常或错误","2","功能测试"
"162118","验证点击编辑事件分类","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 点击编辑，修改分类名称，校验规则同新增
3. 修改保存成功后","1. 进入事件管理列表
2. 编辑保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
3. 引用该字段的地方如事件列表、编辑、详情，同步更新","2","功能测试"
"162117","验证点击删除事件分类","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 点击删除，若分类下没有事件的
3. 点击删除，若分类下有事件的","1. 进入事件管理列表
2. 系统提示删除成功，该条记录从列表中消失，总记录数减1
3. 无法删除，后端提示：当前目录下有事件被管理，当前目录暂不可删除","1","功能测试"
"162116","验证事件名称搜索","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 提示词：请输入事件名称进行搜索
3. 支持输入搜索，输入后自动检索，支持模糊匹配","1. 进入事件管理列表
2. 正确展示
3. 搜索结果正确，内容与预期完全一致，无异常或错误","3","功能测试"
"162115","验证列表展示","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 列表包含事件名称、事件描述、事件分类、创建人、创建时间、最近更新人、最近更新时间、操作
3. 分页展示","1. 进入事件管理列表
2. 字段正确，内容与预期完全一致，无异常或错误
3. 分页正确，内容与预期完全一致，无异常或错误","3","功能测试"
"162114","验证列表排序","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 按照最新更新时间倒排","1. 进入事件管理列表
2. 排序正确，内容与预期完全一致，无异常或错误","2","功能测试"
"162113","验证点击事件名称","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 点击事件名称
3. 点击收起","1. 进入事件管理列表
2. 右侧成功展示事件详情抽屉
3. 成功收起事件详情抽屉","2","功能测试"
"162112","验证事件详情-基本信息","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 查看详情标题
3. 查看详情基本信息，正确显示：事件名称、事件分类、创建人、创建时间、更新人、最近更新时间、事件描述","1. 进入事件管理列表，并打开事件详情
2. 正确展示详情名称，如$事件名称$
3. 字段值正确，内容与预期完全一致，无异常或错误","2","功能测试"
"162111","验证事件详情-事件定义","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 查看事件定义，正确显示：Catalog、Schema、事件来源表
3. 查看事件筛选条件
4. 查看事件筛选条件-自定义sql超长展示","1. 进入事件管理列表，并打开事件详情
2. 字段值正确，内容与预期完全一致，无异常或错误
3. 正确回显
4. 正确回显，滑动时底部页面需固定","2","功能测试"
"162110","验证事件详情-字段定义","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 查看字段定义，正确显示：字段名称、描述、事件时间、事件主体、经营过程主体","1. 进入事件管理列表，并打开事件详情
2. 字段值正确，内容与预期完全一致，无异常或错误","2","功能测试"
"162109","验证点击新增事件","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 点击新增事件
3. 输入正确的事件名称、事件描述，选择正确的事件分类
4. 选择有效的Catalog、Schema、事件来源表
5. 配置事件筛选条件
6. 输入正确的字段名称、描述，正确勾选事件时间、事件主体、经营过程主体
7. 必填字段正确填写，点击确定
8. 新增事件成功后，点击事件详情查看
9. 新增事件成功后，点击事件编辑
10. 若进入新增页面后，直接点取消，或者点击面包屑","1. 进入事件管理列表
2. 成功跳转到新增页面
3. 成功输入或选择
4. 选择项已高亮/回显选中状态，相关联动字段随之更新
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 成功输入或勾选
7. 新增事件成功，列表事件+1
8. 所有字段均和新增填写的字段一致
9. 回显的所有字段和新增时填写的字段一致
10. 可以返回上一页","1","功能测试"
"162108","验证点击编辑","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 点击编辑，校验规则同新增
3. 编辑事件保存成功后，点击查看事件详情
4. 编辑事件保存成功后，再次点击编辑
5. 修改保存成功后","1. 进入事件管理列表
2. 编辑保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
3. 修改字段同步更新
4. 正确回显
5. 引用修改字段的地方，同步更新","1","功能测试"
"162107","验证点击删除","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理
2. 点击删除，若被子目标策略绑定的事件
3. 点击删除，若未被子目标策略绑定的事件，二次删除弹窗确认（文案：确认删除事件“$事件名称$”吗？该操作不可逆，请谨慎操作！），点击确定","1. 进入事件管理列表
2. 不可删除，按钮置灰
3. 删除成功，列表事件-1","1","功能测试"
"162106","验证事件名称","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理 ， 进入事件管理列表
2. 提示词：请输入事件名称
3. 必填
4. 长度限制64字符","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 为空校验：请输入事件名称
4. 超长校验：限制输入64字符","2","功能测试"
"162105","验证描述","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 提示词：请输入事件描述，长度限制在500个字符以内
3. 非必填
4. 长度限制500字符","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 支持为空
4. 超长校验：限制输入500字符","3","功能测试"
"162104","验证事件分类","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 提示词：请选择事件分类
3. 必选，仅支持单选
4. 选择枚举值：基于事件分类
5. 若所选的事件分类被修改
6. 若所选的事件分类被删除，点击新增事件保存时","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 为空校验：请选择事件分类
4. 和事件分类列表一致
5. 此处同步更新
6. 提示：事件分类不存在","1","功能测试"
