用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
141212,验证历史任务处理,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),无,"1. 进入【历史任务处理】页面
2. 查看历史任务“源表结构变化策略”配置
3. 查看历史实例","1. 成功进入【历史任务处理】页面，页面内容正常加载显示，无报错
2. 默认均为“忽略新增字段”
3. 历史实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",2,功能测试
141211,验证源表结构变化策略 - 目标表新增同名字段，建立映射并同步数据 - 源表新增字段后，已生成实例的处理,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),"待测数据源类型：
RDB：MySQL、Oracle、PG类、SQLServer
大数据存储：Hive、Inceptor
MPP：Doris，OceanBase
分析型：StarRocks
时序型：TDengine","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）创建待测数据源的数据同步读任务；
2）提交任务生成周期实例（周期实例未开始运行）
3）源表新增字段new_column，且目标表无同名字段
4）等待周期实例开始运行并运行结束
3. 重新提交任务生成周期实例/补数据实例","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 1）周期实例运行成功；
2）任务详情源表/目标表，不显示新增字段及其映射关系
3. 1）周期实例运行成功；
2）任务详情源表/目标表，显示新增字段及其映射关系；
3）目标表新增字段",2,功能测试
141210,验证源表结构变化策略 - 目标表新增同名字段，建立映射并同步数据 - （Oracle）目标表表名包含特殊字符的处理方式,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),"待测数据源类型：
RDB：MySQL、Oracle、PG类、SQLServer
大数据存储：Hive、Inceptor
MPP：Doris，OceanBase
分析型：StarRocks
时序型：TDengine","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 源表新增字段","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 目标表新增字段成功，系统给出成功反馈，相关页面/数据状态更新为最新",3,功能测试
141209,验证源表结构变化策略 - 目标表新增同名字段，建立映射并同步数据 - 源表新增字段但字段映射处源表已有同名的常量字段,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),"待测数据源类型：
RDB：MySQL、Oracle、PG类、SQLServer
大数据存储：Hive、Inceptor
MPP：Doris，OceanBase
分析型：StarRocks
时序型：TDengine","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）字段映射处，源表添加new_column作为常量字段映射到目标表的同名字段；
2）源表新增字段new_column","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 1）运行失败；
2）任务详情源表/目标表，不显示新增字段及其映射关系",2,功能测试
141208,验证源表结构变化策略 - 目标表新增同名字段，建立映射并同步数据 - 源表新增字段但目标表已存在同名字段,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),"待测数据源类型：
RDB：MySQL、Oracle、PG类、SQLServer
大数据存储：Hive、Inceptor
MPP：Doris，OceanBase
分析型：StarRocks
时序型：TDengine","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1) 目标表已存在字段new_column，但无映射关系
2) 源表新增字段new_column
3. 1) 目标表已存在字段new_column，且有映射关系
2) 源表新增字段new_column","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 1）运行失败；
2）任务详情源表/目标表，不显示新增字段及其映射关系
3. 1）运行失败；
2）任务详情源表/目标表，不显示新增字段及其映射关系",1,功能测试
141207,验证源表结构变化策略 - 目标表新增同名字段，建立映射并同步数据 - 源表新增字段的字段类型校验,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),"待测数据源类型：
RDB：MySQL、Oracle、PG类、SQLServer
大数据存储：Hive、Inceptor
MPP：Doris，OceanBase
分析型：StarRocks
时序型：TDengine","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 源表新增字段的字段为常用字段类型：
数值型：int、integer、bigint、float、double、decimal、numberic、number等
字符型：string、varchar、nvarchar、text、longtext等
日期时间型：timestamp、date、datetime等
布尔型：bool、boolean
3. 源表新增字段的字段为复杂字段类型：
blob、clob、json、enum、复合类型等","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 1）字段映射处，目标表新增字段的字段类型正确；
2）目标表表结构-新增字段字段类型正确，内容与预期完全一致，无异常或错误
3. 1）字段映射处，目标表新增字段的字段类型正确；
2）目标表表结构-新增字段字段类型正确，内容与预期完全一致，无异常或错误",1,功能测试
141206,验证源表结构变化策略 - 目标表新增同名字段，建立映射并同步数据 - 流程,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),"待测数据源类型：
RDB：MySQL、Oracle、PG类、SQLServer
大数据存储：Hive、Inceptor
MPP：Doris，OceanBase
分析型：StarRocks
时序型：TDengine","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）创建待测数据源的数据同步读任务；
2）源表新增字段new_column，且目标表无同名字段
3）临时运行/周期运行/补数据运行
3. 查看任务详情-字段映射步骤
4. 查看目标表表结构","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 任务/实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3. 源表和目标表新增new_column的映射关系
4. 目标表新增字段new_column，且字段类型正确，内容与预期完全一致，无异常或错误",1,功能测试
141205,验证源表结构变化策略 - 任务报错并告警,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),无,"1. 进入【源表结构变化策略】-【任务报错并告警】页面
2. 1）创建待测数据源的数据同步读任务；
2）源表新增字段new_column，且目标表无同名字段
3）临时运行/周期运行/补数据运行
3. 重新打开任务，查看任务详情-字段映射步骤
4. 查看目标表表结构
5. 运行任务历史实例，以及新增实例
6. 查看任务告警信息","1. 成功进入【源表结构变化策略】-【任务报错并告警】页面，页面内容正常加载显示，无报错
2. 任务运行失败
3. 源表和目标表均不新增new_column以及其映射关系
4. 目标表不新增字段
5. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期
6. 告警信息正确，内容与预期完全一致，无异常或错误",2,功能测试
141204,验证源表结构变化策略 - 忽略新增字段,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),无,"1. 进入【源表结构变化策略】-【忽略新增字段】页面
2. 1）创建待测数据源的数据同步读任务；
2）源表新增字段new_column，且目标表无同名字段
3）临时运行/周期运行/补数据运行
3. 重新打开任务，查看任务详情-字段映射步骤
4. 查看目标表表结构
5. 运行任务历史实例，以及新增实例","1. 成功进入【源表结构变化策略】-【忽略新增字段】页面，页面内容正常加载显示，无报错
2. 任务状态更新为【运行成功】，运行日志无错误信息，输出结果符合预期
3. 源表和目标表均不新增new_column以及其映射关系
4. 目标表不新增字段
5. 实例运行正常，功能行为符合预期，无报错或异常",1,功能测试
141203,验证数据同步-字段映射步骤，增加“源表结构变化策略”,离线开发-数据开发-数据同步,数据同步新增字段同步(#13810),无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）源表选择待测数据源类型；
2）完善源表/目标表信息后，进入字段映射步骤
3. hover“源表结构变化策略”问号icon","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 字段映射组件下方显示“源表结构变化策略”单选项，选项为：忽略新增字段、任务报错并报警、目标表新增同名字段，建立映射并同步数据
3. 提示如下：
可选择三种策略应对源表的表结构变化
忽略新增字段：当源表存在新增字段时，不做任何动作，任务正常运行
任务报错并告警：当源表存在新增字段、减少字段、字段类型变化等元数据变更时，任务报错并告警
目标表新增同名字段，建立映射并同步数据：当源表存在新增字段时，在目标表新增同名字段，自动建立映射关系并同步数据",1,功能测试
